"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia ASUNCION (000)",2290,8953,503,2201,1787,6752
"Casa independiente (001)",2203,8618,494,2164,1709,6454
"Vivienda en casa de vecindad (004)",6,23,6,23,,
"Choza o cabaña (005)",77,297,,,77,297
"Vivienda improvisada (006)",2,13,2,13,,
"Local no dest.para hab. humana (007)",1,1,,,1,1
"Otro tipo (008)",1,1,1,1,,
