"CUADRO Nº 19: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HABITACIONES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HABITACIONES DE LA VIVIENDA",,,,,,,
,,1,2,3,4,5,6,7,"8 Y MÁS"
,,,,,,,,,
"Provincia ANDAHUAYLAS",,,,,,,,,
"Viviendas particulares (001)",35330,6887,12215,5862,5779,1594,1411,474,1108
"Ocupantes presentes (002)",142511,21386,47412,25079,26553,7515,6856,2369,5341
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",34100,6273,11920,5723,5693,1540,1400,468,1083
"Ocupantes presentes (005)",138536,19746,46337,24612,26170,7293,6798,2338,5242
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",227,58,52,48,29,10,8,3,19
"Ocupantes presentes (008)",747,120,190,147,128,45,47,11,59
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",128,48,32,16,9,11,3,3,6
"Ocupantes presentes (011)",478,139,113,59,46,50,11,20,40
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",309,173,53,28,31,24,,,
"Ocupantes presentes (014)",1066,491,212,125,143,95,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",506,293,146,43,15,9,,,
"Ocupantes presentes (017)",1468,762,493,125,56,32,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",33,24,5,3,1,,,,
"Ocupantes presentes (020)",118,73,34,7,4,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",20,11,7,1,1,,,,
"Ocupantes presentes (023)",85,42,33,4,6,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",7,7,,,,,,,
"Ocupantes presentes (026)",13,13,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",15527,2903,4031,2541,2776,1053,919,392,912
"Ocupantes presentes (029)",63451,9221,15424,10583,12562,4915,4405,1950,4391
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",14807,2583,3885,2445,2705,1008,908,386,887
"Ocupantes presentes (032)",60968,8346,14863,10241,12235,4725,4347,1919,4292
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",227,58,52,48,29,10,8,3,19
"Ocupantes presentes (035)",747,120,190,147,128,45,47,11,59
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",128,48,32,16,9,11,3,3,6
"Ocupantes presentes (038)",478,139,113,59,46,50,11,20,40
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",309,173,53,28,31,24,,,
"Ocupantes presentes (041)",1066,491,212,125,143,95,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",33,24,5,3,1,,,,
"Ocupantes presentes (047)",118,73,34,7,4,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",16,10,4,1,1,,,,
"Ocupantes presentes (050)",61,39,12,4,6,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",7,7,,,,,,,
"Ocupantes presentes (053)",13,13,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",19803,3984,8184,3321,3003,541,492,82,196
"Ocupantes presentes (056)",79060,12165,31988,14496,13991,2600,2451,419,950
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",19293,3690,8035,3278,2988,532,492,82,196
"Ocupantes presentes (059)",77568,11400,31474,14371,13935,2568,2451,419,950
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",506,293,146,43,15,9,,,
"Ocupantes presentes (071)",1468,762,493,125,56,32,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",4,1,3,,,,,,
"Ocupantes presentes (077)",24,3,21,,,,,,
"Otro tipo",,,,,,,,,
