"CUADRO Nº 10: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA",
,,SI,NO
,,,
"Provincia COTABAMBAS",,,
"Viviendas particulares (001)",3264,2675,589
"Ocupantes presentes (002)",13161,10748,2413
"Casa independiente",,,
"Viviendas particulares (004)",3117,2580,537
"Ocupantes presentes (005)",12590,10380,2210
"Departamento en edificio",,,
"Viviendas particulares (007)",5,5,
"Ocupantes presentes (008)",22,22,
"Vivienda en quinta",,,
"Viviendas particulares (010)",5,5,
"Ocupantes presentes (011)",15,15,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",16,16,
"Ocupantes presentes (014)",52,52,
"Choza o cabaña",,,
"Viviendas particulares (016)",119,68,51
"Ocupantes presentes (017)",478,278,200
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",2,1,1
"Ocupantes presentes (023)",4,1,3
"Otro tipo",,,
,,,
URBANA,,,
"Viviendas particulares (028)",1660,1406,254
"Ocupantes presentes (029)",6734,5633,1101
"Casa independiente",,,
"Viviendas particulares (031)",1633,1379,254
"Ocupantes presentes (032)",6644,5543,1101
"Departamento en edificio",,,
"Viviendas particulares (034)",5,5,
"Ocupantes presentes (035)",22,22,
"Vivienda en quinta",,,
"Viviendas particulares (037)",5,5,
"Ocupantes presentes (038)",15,15,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",16,16,
"Ocupantes presentes (041)",52,52,
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",1,1,
"Ocupantes presentes (050)",1,1,
"Otro tipo",,,
,,,
RURAL,,,
"Viviendas particulares (055)",1604,1269,335
"Ocupantes presentes (056)",6427,5115,1312
"Casa independiente",,,
"Viviendas particulares (058)",1484,1201,283
"Ocupantes presentes (059)",5946,4837,1109
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",119,68,51
"Ocupantes presentes (071)",478,278,200
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",1,,1
"Ocupantes presentes (077)",3,,3
"Otro tipo",,,
