"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUANCA SANCOS (000)",6371,2715,3656
"Casa independiente (001)",3985,2670,1315
"Departamento en edificio (002)",4,4,
"Vivienda en quinta (003)",15,15,
"Vivienda en casa de vecindad (004)",17,17,
"Choza o cabaña (005)",2339,,2339
"Vivienda improvisada (006)",5,5,
"Local no dest.para hab. humana (007)",5,4,1
"Otro tipo (008)",1,,1
