"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia LA MAR (000)",21192,5372,15820
"Red pública dentro de la vivienda (001)",2925,1166,1759
"Red pública fuera de la vivienda (002)",1400,314,1086
"Pilón de uso público (003)",669,48,621
"Camión - cisterna u otro similar (004)",17,3,14
"Pozo (005)",2031,901,1130
"Río, acequia, manatial o similar (006)",12975,2714,10261
"Vecino (007)",1033,191,842
"Otro (008)",142,35,107
,,,
"URBANA (010)",8294,4408,3886
"Red pública dentro de la vivienda (011)",1546,997,549
"Red pública fuera de la vivienda (012)",282,141,141
"Pilón de uso público (013)",102,24,78
"Camión - cisterna u otro similar (014)",3,1,2
"Pozo (015)",1193,764,429
"Río, acequia, manatial o similar (016)",4667,2344,2323
"Vecino (017)",414,119,295
"Otro (018)",87,18,69
,,,
"RURAL (020)",12898,964,11934
"Red pública dentro de la vivienda (021)",1379,169,1210
"Red pública fuera de la vivienda (022)",1118,173,945
"Pilón de uso público (023)",567,24,543
"Camión - cisterna u otro similar (024)",14,2,12
"Pozo (025)",838,137,701
"Río, acequia, manatial o similar (026)",8308,370,7938
"Vecino (027)",619,72,547
"Otro (028)",55,17,38
