"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia CUSCO",,,,,,,,,
"Viviendas particulares (001)",9208,5661,1264,421,799,158,161,152,592
"Ocupantes presentes (002)",40919,25267,5442,1884,3557,664,744,677,2684
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",7818,4982,1021,327,637,123,114,117,497
"Ocupantes presentes (005)",35565,22617,4553,1519,2930,537,577,539,2293
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",220,80,34,11,48,8,17,9,13
"Ocupantes presentes (008)",814,318,121,36,179,26,61,27,46
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",295,143,55,17,34,4,6,12,24
"Ocupantes presentes (011)",1245,635,209,63,126,18,12,54,128
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",863,448,152,64,80,23,24,14,58
"Ocupantes presentes (014)",3259,1672,553,261,322,83,94,57,217
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",1,1,,,,,,,
"Ocupantes presentes (017)",10,10,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",4,3,1,,,,,,
"Ocupantes presentes (020)",10,7,3,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",7,4,1,2,,,,,
"Ocupantes presentes (023)",16,8,3,5,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",9063,5609,1249,418,782,158,160,152,535
"Ocupantes presentes (029)",40262,25042,5384,1864,3467,664,740,677,2424
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",7674,4931,1006,324,620,123,113,117,440
"Ocupantes presentes (032)",34918,22402,4495,1499,2840,537,573,539,2033
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",220,80,34,11,48,8,17,9,13
"Ocupantes presentes (035)",814,318,121,36,179,26,61,27,46
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",295,143,55,17,34,4,6,12,24
"Ocupantes presentes (038)",1245,635,209,63,126,18,12,54,128
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",863,448,152,64,80,23,24,14,58
"Ocupantes presentes (041)",3259,1672,553,261,322,83,94,57,217
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",4,3,1,,,,,,
"Ocupantes presentes (047)",10,7,3,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",7,4,1,2,,,,,
"Ocupantes presentes (050)",16,8,3,5,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",145,52,15,3,17,,1,,57
"Ocupantes presentes (056)",657,225,58,20,90,,4,,260
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",144,51,15,3,17,,1,,57
"Ocupantes presentes (059)",647,215,58,20,90,,4,,260
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",1,1,,,,,,,
"Ocupantes presentes (071)",10,10,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
