"CUADRO Nº 8: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA",,,,,,
,,TIERRA,CEMENTO,"LOSETAS, TERRAZOS, CERÁMICOS O SIMILARES","PARQUET O MADERA PULIDA","MADERA (PONA, TOR-NILLO, ETC.)","LÁMINAS ASFÁL-TICAS, VINÍLICOS O SIMILARES","OTRO MATERIAL"
,,,,,,,,
"Provincia ANTA",,,,,,,,
"Viviendas particulares (001)",13659,12221,1102,29,68,205,14,20
"Ocupantes presentes (002)",54165,48344,4575,102,236,790,48,70
"Casa independiente",,,,,,,,
"Viviendas particulares (004)",13220,11796,1090,29,68,204,14,19
"Ocupantes presentes (005)",52585,46830,4519,102,236,781,48,69
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (010)",3,,3,,,,,
"Ocupantes presentes (011)",10,,10,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (013)",16,8,7,,,1,,
"Ocupantes presentes (014)",78,25,44,,,9,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (016)",408,407,,,,,,1
"Ocupantes presentes (017)",1469,1468,,,,,,1
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (022)",8,6,2,,,,,
"Ocupantes presentes (023)",11,9,2,,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (025)",4,4,,,,,,
"Ocupantes presentes (026)",12,12,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Viviendas particulares (028)",4777,3730,796,19,60,156,3,13
"Ocupantes presentes (029)",18847,14625,3284,59,215,599,14,51
"Casa independiente",,,,,,,,
"Viviendas particulares (031)",4753,3717,786,19,60,155,3,13
"Ocupantes presentes (032)",18747,14588,3230,59,215,590,14,51
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (037)",3,,3,,,,,
"Ocupantes presentes (038)",10,,10,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (040)",16,8,7,,,1,,
"Ocupantes presentes (041)",78,25,44,,,9,,
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (049)",2,2,,,,,,
"Ocupantes presentes (050)",2,2,,,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (052)",3,3,,,,,,
"Ocupantes presentes (053)",10,10,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Viviendas particulares (055)",8882,8491,306,10,8,49,11,7
"Ocupantes presentes (056)",35318,33719,1291,43,21,191,34,19
"Casa independiente",,,,,,,,
"Viviendas particulares (058)",8467,8079,304,10,8,49,11,6
"Ocupantes presentes (059)",33838,32242,1289,43,21,191,34,18
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (070)",408,407,,,,,,1
"Ocupantes presentes (071)",1469,1468,,,,,,1
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (076)",6,4,2,,,,,
"Ocupantes presentes (077)",9,7,2,,,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (079)",1,1,,,,,,
"Ocupantes presentes (080)",2,2,,,,,,
