"CUADRO Nº 16: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CASTROVIRREYNA",,,
"Viviendas particulares (001)",5978,2214,3764
"Ocupantes presentes (002)",18472,7234,11238
"Casa independiente",,,
"Viviendas particulares (004)",5163,2118,3045
"Ocupantes presentes (005)",16255,6958,9297
"Departamento en edificio",,,
"Viviendas particulares (007)",2,2,
"Ocupantes presentes (008)",4,4,
"Vivienda en quinta",,,
"Viviendas particulares (010)",8,8,
"Ocupantes presentes (011)",13,13,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",52,49,3
"Ocupantes presentes (014)",145,133,12
"Choza o cabaña",,,
"Viviendas particulares (016)",634,26,608
"Ocupantes presentes (017)",1794,80,1714
"Vivienda improvisada",,,
"Viviendas particulares (019)",6,1,5
"Ocupantes presentes (020)",26,6,20
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",9,5,4
"Ocupantes presentes (023)",25,12,13
"Otro tipo",,,
"Viviendas particulares (025)",104,5,99
"Ocupantes presentes (026)",210,28,182
,,,
URBANA,,,
"Viviendas particulares (028)",1888,1359,529
"Ocupantes presentes (029)",5542,4267,1275
"Casa independiente",,,
"Viviendas particulares (031)",1723,1290,433
"Ocupantes presentes (032)",5161,4072,1089
"Departamento en edificio",,,
"Viviendas particulares (034)",2,2,
"Ocupantes presentes (035)",4,4,
"Vivienda en quinta",,,
"Viviendas particulares (037)",8,8,
"Ocupantes presentes (038)",13,13,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",52,49,3
"Ocupantes presentes (041)",145,133,12
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",6,1,5
"Ocupantes presentes (047)",26,6,20
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",6,4,2
"Ocupantes presentes (050)",17,11,6
"Otro tipo",,,
"Viviendas particulares (052)",91,5,86
"Ocupantes presentes (053)",176,28,148
,,,
RURAL,,,
"Viviendas particulares (055)",4090,855,3235
"Ocupantes presentes (056)",12930,2967,9963
"Casa independiente",,,
"Viviendas particulares (058)",3440,828,2612
"Ocupantes presentes (059)",11094,2886,8208
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",634,26,608
"Ocupantes presentes (071)",1794,80,1714
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",3,1,2
"Ocupantes presentes (077)",8,1,7
"Otro tipo",,,
"Viviendas particulares (079)",13,,13
"Ocupantes presentes (080)",34,,34
