"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUAMALIES (000)",428,424,4
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",37,37,
"Casa pensión (003)",12,11,1
"Hospital, clinica (004)",39,38,1
"Aldea infantil, orfelinato, etc (007)",28,28,
"Otro (008)",154,153,1
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",158,157,1
