"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHUPACA (000)",976,947,29
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",2,2,
"Casa pensión (003)",1,1,
"Hospital, clinica (004)",5,5,
"Cárcel, centro de readaptación social (005)",870,870,
"Otro (008)",89,60,29
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",9,9,
