"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia TRUJILLO",,,,
"Viviendas particulares (001)",153225,139480,10182,3563
"Ocupantes presentes (002)",708849,652969,41440,14440
"Casa independiente",,,,
"Viviendas particulares (004)",138879,127863,7646,3370
"Ocupantes presentes (005)",656711,609924,33053,13734
"Departamento en edificio",,,,
"Viviendas particulares (007)",9313,7983,1330,
"Ocupantes presentes (008)",33336,28863,4473,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",2968,2283,685,
"Ocupantes presentes (011)",11243,9004,2239,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",1597,1036,485,76
"Ocupantes presentes (014)",6013,4195,1551,267
"Choza o cabaña",,,,
"Viviendas particulares (016)",9,,,9
"Ocupantes presentes (017)",38,,,38
"Vivienda improvisada",,,,
"Viviendas particulares (019)",159,85,11,63
"Ocupantes presentes (020)",575,324,39,212
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",280,230,25,25
"Ocupantes presentes (023)",856,659,85,112
"Otro tipo",,,,
"Viviendas particulares (025)",20,,,20
"Ocupantes presentes (026)",77,,,77
Si,,,,
"Viviendas particulares (028)",115496,106127,7302,2067
"Ocupantes presentes (029)",529857,492203,29091,8563
"Casa independiente",,,,
"Viviendas particulares (031)",101822,94985,4919,1918
"Ocupantes presentes (032)",480256,451025,21229,8002
"Departamento en edificio",,,,
"Viviendas particulares (034)",9129,7828,1301,
"Ocupantes presentes (035)",32676,28294,4382,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",2758,2146,612,
"Ocupantes presentes (038)",10458,8453,2005,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",1397,898,441,58
"Ocupantes presentes (041)",5192,3599,1391,202
"Choza o cabaña",,,,
"Viviendas particulares (043)",5,,,5
"Ocupantes presentes (044)",23,,,23
"Vivienda improvisada",,,,
"Viviendas particulares (046)",130,67,10,53
"Ocupantes presentes (047)",475,259,35,181
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",241,203,19,19
"Ocupantes presentes (050)",710,573,49,88
"Otro tipo",,,,
"Viviendas particulares (052)",14,,,14
"Ocupantes presentes (053)",67,,,67
No,,,,
"Viviendas particulares (055)",37729,33353,2880,1496
"Ocupantes presentes (056)",178992,160766,12349,5877
"Casa independiente",,,,
"Viviendas particulares (058)",37057,32878,2727,1452
"Ocupantes presentes (059)",176455,158899,11824,5732
"Departamento en edificio",,,,
"Viviendas particulares (061)",184,155,29,
"Ocupantes presentes (062)",660,569,91,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",210,137,73,
"Ocupantes presentes (065)",785,551,234,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",200,138,44,18
"Ocupantes presentes (068)",821,596,160,65
"Choza o cabaña",,,,
"Viviendas particulares (070)",4,,,4
"Ocupantes presentes (071)",15,,,15
"Vivienda improvisada",,,,
"Viviendas particulares (073)",29,18,1,10
"Ocupantes presentes (074)",100,65,4,31
"Local no dest.para hab. humana",,,,
"Viviendas particulares (076)",39,27,6,6
"Ocupantes presentes (077)",146,86,36,24
"Otro tipo",,,,
"Viviendas particulares (079)",6,,,6
"Ocupantes presentes (080)",10,,,10
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",150342,137364,9590,3388
"Ocupantes presentes (110)",696420,643832,38881,13707
"Casa independiente",,,,
"Viviendas particulares (112)",136006,125748,7054,3204
"Ocupantes presentes (113)",644327,600794,30494,13039
"Departamento en edificio",,,,
"Viviendas particulares (115)",9313,7983,1330,
"Ocupantes presentes (116)",33336,28863,4473,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",2968,2283,685,
"Ocupantes presentes (119)",11243,9004,2239,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",1597,1036,485,76
"Ocupantes presentes (122)",6013,4195,1551,267
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",159,85,11,63
"Ocupantes presentes (128)",575,324,39,212
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",279,229,25,25
"Ocupantes presentes (131)",849,652,85,112
"Otro tipo",,,,
"Viviendas particulares (133)",20,,,20
"Ocupantes presentes (134)",77,,,77
Si,,,,
"Viviendas particulares (136)",112909,104183,6812,1914
"Ocupantes presentes (137)",518739,483836,26980,7923
"Casa independiente",,,,
"Viviendas particulares (139)",99241,93042,4429,1770
"Ocupantes presentes (140)",469168,442665,19118,7385
"Departamento en edificio",,,,
"Viviendas particulares (142)",9129,7828,1301,
"Ocupantes presentes (143)",32676,28294,4382,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",2758,2146,612,
"Ocupantes presentes (146)",10458,8453,2005,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",1397,898,441,58
"Ocupantes presentes (149)",5192,3599,1391,202
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",130,67,10,53
"Ocupantes presentes (155)",475,259,35,181
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",240,202,19,19
"Ocupantes presentes (158)",703,566,49,88
"Otro tipo",,,,
"Viviendas particulares (160)",14,,,14
"Ocupantes presentes (161)",67,,,67
No,,,,
"Viviendas particulares (163)",37433,33181,2778,1474
"Ocupantes presentes (164)",177681,159996,11901,5784
"Casa independiente",,,,
"Viviendas particulares (166)",36765,32706,2625,1434
"Ocupantes presentes (167)",175159,158129,11376,5654
"Departamento en edificio",,,,
"Viviendas particulares (169)",184,155,29,
"Ocupantes presentes (170)",660,569,91,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",210,137,73,
"Ocupantes presentes (173)",785,551,234,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",200,138,44,18
"Ocupantes presentes (176)",821,596,160,65
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (181)",29,18,1,10
"Ocupantes presentes (182)",100,65,4,31
"Local no dest.para hab. humana",,,,
"Viviendas particulares (184)",39,27,6,6
"Ocupantes presentes (185)",146,86,36,24
"Otro tipo",,,,
"Viviendas particulares (187)",6,,,6
"Ocupantes presentes (188)",10,,,10
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",2883,2116,592,175
"Ocupantes presentes (218)",12429,9137,2559,733
"Casa independiente",,,,
"Viviendas particulares (220)",2873,2115,592,166
"Ocupantes presentes (221)",12384,9130,2559,695
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",9,,,9
"Ocupantes presentes (233)",38,,,38
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (238)",1,1,,
"Ocupantes presentes (239)",7,7,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",2587,1944,490,153
"Ocupantes presentes (245)",11118,8367,2111,640
"Casa independiente",,,,
"Viviendas particulares (247)",2581,1943,490,148
"Ocupantes presentes (248)",11088,8360,2111,617
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",5,,,5
"Ocupantes presentes (260)",23,,,23
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (265)",1,1,,
"Ocupantes presentes (266)",7,7,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",296,172,102,22
"Ocupantes presentes (272)",1311,770,448,93
"Casa independiente",,,,
"Viviendas particulares (274)",292,172,102,18
"Ocupantes presentes (275)",1296,770,448,78
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (286)",4,,,4
"Ocupantes presentes (287)",15,,,15
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
