"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SANCHEZ CARRION (000)",135592,35959,99633
"Casa independiente (001)",130998,35254,95744
"Departamento en edificio (002)",60,60,
"Vivienda en quinta (003)",190,190,
"Vivienda en casa de vecindad (004)",418,418,
"Choza o cabaña (005)",3884,,3884
"Vivienda improvisada (006)",18,18,
"Local no dest.para hab. humana (007)",24,19,5
