"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia SANTIAGO DE CHUCO",,,,,
"Viviendas particulares (001)",693,142,102,248,201
"Ocupantes presentes (002)",3083,586,476,1115,906
"Casa independiente",,,,,
"Viviendas particulares (004)",682,139,101,245,197
"Ocupantes presentes (005)",3037,567,473,1103,894
"Departamento en edificio",,,,,
"Viviendas particulares (007)",2,1,1,,
"Ocupantes presentes (008)",17,14,3,,
"Vivienda en quinta",,,,,
"Viviendas particulares (010)",2,,,,2
"Ocupantes presentes (011)",6,,,,6
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (013)",6,2,,2,2
"Ocupantes presentes (014)",19,5,,8,6
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (022)",1,,,1,
"Ocupantes presentes (023)",4,,,4,
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",333,54,56,113,110
"Ocupantes presentes (029)",1514,246,256,511,501
"Casa independiente",,,,,
"Viviendas particulares (031)",322,51,55,110,106
"Ocupantes presentes (032)",1468,227,253,499,489
"Departamento en edificio",,,,,
"Viviendas particulares (034)",2,1,1,,
"Ocupantes presentes (035)",17,14,3,,
"Vivienda en quinta",,,,,
"Viviendas particulares (037)",2,,,,2
"Ocupantes presentes (038)",6,,,,6
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (040)",6,2,,2,2
"Ocupantes presentes (041)",19,5,,8,6
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (049)",1,,,1,
"Ocupantes presentes (050)",4,,,4,
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",360,88,46,135,91
"Ocupantes presentes (056)",1569,340,220,604,405
"Casa independiente",,,,,
"Viviendas particulares (058)",360,88,46,135,91
"Ocupantes presentes (059)",1569,340,220,604,405
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
