"CUADRO Nº 19: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HABITACIONES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HABITACIONES DE LA VIVIENDA",,,,,,,
,,1,2,3,4,5,6,7,"8 Y MÁS"
,,,,,,,,,
"Provincia SANTIAGO DE CHUCO",,,,,,,,,
"Viviendas particulares (001)",12871,3251,4292,2033,1704,555,502,179,355
"Ocupantes presentes (002)",56089,12844,18791,9099,7887,2591,2286,849,1742
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",12402,3053,4176,1965,1630,543,501,179,355
"Ocupantes presentes (005)",53960,11999,18210,8824,7517,2534,2285,849,1742
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",89,1,6,19,57,5,1,,
"Ocupantes presentes (008)",395,3,29,78,265,19,1,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",11,3,4,3,,1,,,
"Ocupantes presentes (011)",34,3,13,13,,5,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",86,39,14,19,9,5,,,
"Ocupantes presentes (014)",387,173,59,72,57,26,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",270,145,91,26,8,,,,
"Ocupantes presentes (017)",1268,633,476,111,48,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",5,4,,,,1,,,
"Ocupantes presentes (020)",26,19,,,,7,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",8,6,1,1,,,,,
"Ocupantes presentes (023)",19,14,4,1,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",4619,639,1231,872,826,341,299,127,284
"Ocupantes presentes (029)",19753,2345,5137,3772,3667,1560,1309,591,1372
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",4421,587,1206,830,760,329,298,127,284
"Ocupantes presentes (032)",18895,2136,5032,3608,3345,1503,1308,591,1372
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",89,1,6,19,57,5,1,,
"Ocupantes presentes (035)",395,3,29,78,265,19,1,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",11,3,4,3,,1,,,
"Ocupantes presentes (038)",34,3,13,13,,5,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",86,39,14,19,9,5,,,
"Ocupantes presentes (041)",387,173,59,72,57,26,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",5,4,,,,1,,,
"Ocupantes presentes (047)",26,19,,,,7,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",7,5,1,1,,,,,
"Ocupantes presentes (050)",16,11,4,1,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",8252,2612,3061,1161,878,214,203,52,71
"Ocupantes presentes (056)",36336,10499,13654,5327,4220,1031,977,258,370
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",7981,2466,2970,1135,870,214,203,52,71
"Ocupantes presentes (059)",35065,9863,13178,5216,4172,1031,977,258,370
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",270,145,91,26,8,,,,
"Ocupantes presentes (071)",1268,633,476,111,48,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,1,,,,,,,
"Ocupantes presentes (077)",3,3,,,,,,,
"Otro tipo",,,,,,,,,
