"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia GRAN CHIMU (000)",9711,1992,7719
"Casa independiente (001)",9530,1934,7596
"Departamento en edificio (002)",23,23,
"Vivienda en quinta (003)",12,12,
"Vivienda en casa de vecindad (004)",17,17,
"Choza o cabaña (005)",122,,122
"Vivienda improvisada (006)",5,5,
"Local no dest.para hab. humana (007)",2,1,1
