"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia GRAN CHIMU",,,,
"Viviendas particulares (001)",3784,2313,1342,129
"Ocupantes presentes (002)",15265,9229,5498,538
"Casa independiente",,,,
"Viviendas particulares (004)",3736,2280,1329,127
"Ocupantes presentes (005)",15054,9085,5434,535
"Departamento en edificio",,,,
"Viviendas particulares (007)",22,18,4,
"Ocupantes presentes (008)",66,47,19,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",6,4,2,
"Ocupantes presentes (011)",44,31,13,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",17,10,6,1
"Ocupantes presentes (014)",97,64,31,2
"Choza o cabaña",,,,
"Viviendas particulares (016)",1,,,1
"Ocupantes presentes (017)",1,,,1
"Vivienda improvisada",,,,
"Viviendas particulares (019)",1,,1,
"Ocupantes presentes (020)",1,,1,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",1,1,,
"Ocupantes presentes (023)",2,2,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (028)",3195,2019,1068,108
"Ocupantes presentes (029)",12915,8115,4347,453
"Casa independiente",,,,
"Viviendas particulares (031)",3151,1989,1056,106
"Ocupantes presentes (032)",12729,7980,4299,450
"Departamento en edificio",,,,
"Viviendas particulares (034)",20,16,4,
"Ocupantes presentes (035)",60,41,19,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",5,3,2,
"Ocupantes presentes (038)",41,28,13,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",16,10,5,1
"Ocupantes presentes (041)",81,64,15,2
"Choza o cabaña",,,,
"Viviendas particulares (043)",1,,,1
"Ocupantes presentes (044)",1,,,1
"Vivienda improvisada",,,,
"Viviendas particulares (046)",1,,1,
"Ocupantes presentes (047)",1,,1,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",1,1,,
"Ocupantes presentes (050)",2,2,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (055)",589,294,274,21
"Ocupantes presentes (056)",2350,1114,1151,85
"Casa independiente",,,,
"Viviendas particulares (058)",585,291,273,21
"Ocupantes presentes (059)",2325,1105,1135,85
"Departamento en edificio",,,,
"Viviendas particulares (061)",2,2,,
"Ocupantes presentes (062)",6,6,,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",1,1,,
"Ocupantes presentes (065)",3,3,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",1,,1,
"Ocupantes presentes (068)",16,,16,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",1540,1394,137,9
"Ocupantes presentes (110)",6129,5538,564,27
"Casa independiente",,,,
"Viviendas particulares (112)",1493,1361,124,8
"Ocupantes presentes (113)",5919,5394,500,25
"Departamento en edificio",,,,
"Viviendas particulares (115)",22,18,4,
"Ocupantes presentes (116)",66,47,19,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",6,4,2,
"Ocupantes presentes (119)",44,31,13,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",17,10,6,1
"Ocupantes presentes (122)",97,64,31,2
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",1,,1,
"Ocupantes presentes (128)",1,,1,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",1,1,,
"Ocupantes presentes (131)",2,2,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",1475,1336,131,8
"Ocupantes presentes (137)",5849,5292,533,24
"Casa independiente",,,,
"Viviendas particulares (139)",1432,1306,119,7
"Ocupantes presentes (140)",5664,5157,485,22
"Departamento en edificio",,,,
"Viviendas particulares (142)",20,16,4,
"Ocupantes presentes (143)",60,41,19,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",5,3,2,
"Ocupantes presentes (146)",41,28,13,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",16,10,5,1
"Ocupantes presentes (149)",81,64,15,2
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",1,,1,
"Ocupantes presentes (155)",1,,1,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",1,1,,
"Ocupantes presentes (158)",2,2,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",65,58,6,1
"Ocupantes presentes (164)",280,246,31,3
"Casa independiente",,,,
"Viviendas particulares (166)",61,55,5,1
"Ocupantes presentes (167)",255,237,15,3
"Departamento en edificio",,,,
"Viviendas particulares (169)",2,2,,
"Ocupantes presentes (170)",6,6,,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",1,1,,
"Ocupantes presentes (173)",3,3,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",1,,1,
"Ocupantes presentes (176)",16,,16,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",2244,919,1205,120
"Ocupantes presentes (218)",9136,3691,4934,511
"Casa independiente",,,,
"Viviendas particulares (220)",2243,919,1205,119
"Ocupantes presentes (221)",9135,3691,4934,510
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",1,,,1
"Ocupantes presentes (233)",1,,,1
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",1720,683,937,100
"Ocupantes presentes (245)",7066,2823,3814,429
"Casa independiente",,,,
"Viviendas particulares (247)",1719,683,937,99
"Ocupantes presentes (248)",7065,2823,3814,428
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",1,,,1
"Ocupantes presentes (260)",1,,,1
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",524,236,268,20
"Ocupantes presentes (272)",2070,868,1120,82
"Casa independiente",,,,
"Viviendas particulares (274)",524,236,268,20
"Ocupantes presentes (275)",2070,868,1120,82
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
