"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CAÑETE (000)",134,114,20
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",62,62,
"Casa pensión (003)",6,4,2
"Hospital, clinica (004)",9,9,
"Cárcel, centro de readaptación social (005)",2,,2
"Aldea infantil, orfelinato, etc (007)",5,5,
"Otro (008)",42,26,16
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",8,8,
