"CUADRO Nº 8: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA",,,,,,
,,TIERRA,CEMENTO,"LOSETAS, TERRAZOS, CERÁMICOS O SIMILARES","PARQUET O MADERA PULIDA","MADERA (PONA, TOR-NILLO, ETC.)","LÁMINAS ASFÁL-TICAS, VINÍLICOS O SIMILARES","OTRO MATERIAL"
,,,,,,,,
"Provincia MAYNAS",,,,,,,,
"Viviendas particulares (001)",96113,27304,38321,4405,485,25179,91,328
"Ocupantes presentes (002)",486072,142744,187977,18584,2348,132306,466,1647
"Casa independiente",,,,,,,,
"Viviendas particulares (004)",79437,25339,34547,3947,452,14824,90,238
"Ocupantes presentes (005)",410603,133763,175999,17242,2254,79674,464,1207
"Departamento en edificio",,,,,,,,
"Viviendas particulares (007)",534,,284,222,15,13,,
"Ocupantes presentes (008)",1755,,970,692,37,56,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (010)",3447,,2887,214,11,334,1,
"Ocupantes presentes (011)",10105,,8358,583,36,1126,2,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (013)",381,85,185,16,7,87,,1
"Ocupantes presentes (014)",1723,388,844,57,21,412,,1
"Choza o cabaña",,,,,,,,
"Viviendas particulares (016)",11567,1430,275,,,9783,,79
"Ocupantes presentes (017)",58766,6650,1322,,,50402,,392
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (019)",571,395,52,,,118,,6
"Ocupantes presentes (020)",2600,1785,207,,,581,,27
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (022)",139,30,91,6,,10,,2
"Ocupantes presentes (023)",424,102,277,10,,23,,12
"Otro tipo",,,,,,,,
"Viviendas particulares (025)",37,25,,,,10,,2
"Ocupantes presentes (026)",96,56,,,,32,,8
,,,,,,,,
URBANA,,,,,,,,
"Viviendas particulares (028)",76743,24932,37523,4384,405,9212,56,231
"Ocupantes presentes (029)",386891,131543,184099,18481,1966,49396,242,1164
"Casa independiente",,,,,,,,
"Viviendas particulares (031)",71654,24401,34032,3926,372,8648,55,220
"Ocupantes presentes (032)",370225,129217,173461,17139,1872,47180,240,1116
"Departamento en edificio",,,,,,,,
"Viviendas particulares (034)",534,,284,222,15,13,,
"Ocupantes presentes (035)",1755,,970,692,37,56,,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (037)",3447,,2887,214,11,334,1,
"Ocupantes presentes (038)",10105,,8358,583,36,1126,2,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (040)",381,85,185,16,7,87,,1
"Ocupantes presentes (041)",1723,388,844,57,21,412,,1
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (046)",571,395,52,,,118,,6
"Ocupantes presentes (047)",2600,1785,207,,,581,,27
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (049)",124,28,83,6,,5,,2
"Ocupantes presentes (050)",394,99,259,10,,14,,12
"Otro tipo",,,,,,,,
"Viviendas particulares (052)",32,23,,,,7,,2
"Ocupantes presentes (053)",89,54,,,,27,,8
,,,,,,,,
RURAL,,,,,,,,
"Viviendas particulares (055)",19370,2372,798,21,80,15967,35,97
"Ocupantes presentes (056)",99181,11201,3878,103,382,82910,224,483
"Casa independiente",,,,,,,,
"Viviendas particulares (058)",7783,938,515,21,80,6176,35,18
"Ocupantes presentes (059)",40378,4546,2538,103,382,32494,224,91
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (070)",11567,1430,275,,,9783,,79
"Ocupantes presentes (071)",58766,6650,1322,,,50402,,392
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (076)",15,2,8,,,5,,
"Ocupantes presentes (077)",30,3,18,,,9,,
"Otro tipo",,,,,,,,
"Viviendas particulares (079)",5,2,,,,3,,
"Ocupantes presentes (080)",7,2,,,,5,,
