"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia MAYNAS",,,,,,,,,
"Viviendas particulares (001)",4360,3314,586,123,121,23,6,18,169
"Ocupantes presentes (002)",22467,16946,3025,619,722,119,42,88,906
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",4046,3054,558,107,116,23,6,17,165
"Ocupantes presentes (005)",21335,15968,2933,582,706,119,42,87,898
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",21,19,,1,1,,,,
"Ocupantes presentes (008)",85,81,,2,2,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",181,143,19,13,2,,,1,3
"Ocupantes presentes (011)",520,432,52,26,6,,,1,3
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",14,8,3,2,,,,,1
"Ocupantes presentes (014)",57,27,16,9,,,,,5
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",77,76,,,1,,,,
"Ocupantes presentes (017)",390,383,,,7,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",18,12,6,,,,,,
"Ocupantes presentes (020)",71,47,24,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",3,2,,,1,,,,
"Ocupantes presentes (023)",9,8,,,1,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",4067,3100,578,123,120,23,6,18,99
"Ocupantes presentes (029)",20954,15869,2978,619,715,119,42,88,524
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",3830,2916,550,107,116,23,6,17,95
"Ocupantes presentes (032)",20212,15274,2886,582,706,119,42,87,516
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",21,19,,1,1,,,,
"Ocupantes presentes (035)",85,81,,2,2,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",181,143,19,13,2,,,1,3
"Ocupantes presentes (038)",520,432,52,26,6,,,1,3
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",14,8,3,2,,,,,1
"Ocupantes presentes (041)",57,27,16,9,,,,,5
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",18,12,6,,,,,,
"Ocupantes presentes (047)",71,47,24,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",3,2,,,1,,,,
"Ocupantes presentes (050)",9,8,,,1,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",293,214,8,,1,,,,70
"Ocupantes presentes (056)",1513,1077,47,,7,,,,382
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",216,138,8,,,,,,70
"Ocupantes presentes (059)",1123,694,47,,,,,,382
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",77,76,,,1,,,,
"Ocupantes presentes (071)",390,383,,,7,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
