"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia MARISCAL NIETO",,,,,,,,,
"Viviendas particulares (001)",17087,1328,2647,1475,2303,567,729,383,7655
"Ocupantes presentes (002)",55781,4080,8415,4878,7733,1998,2512,1324,24841
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",15600,1162,2312,1252,2043,554,693,368,7216
"Ocupantes presentes (005)",51675,3656,7499,4288,7066,1956,2398,1264,23548
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",216,,6,2,5,,10,,193
"Ocupantes presentes (008)",677,,21,12,13,,36,,595
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",55,3,4,1,5,,3,4,35
"Ocupantes presentes (011)",194,8,15,2,17,,7,32,113
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",49,2,3,2,3,2,7,,30
"Ocupantes presentes (014)",160,10,12,6,10,13,27,,82
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",15,5,1,2,,,,,7
"Ocupantes presentes (017)",36,7,3,8,,,,,18
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",1132,155,320,216,247,9,15,9,161
"Ocupantes presentes (020)",2998,396,864,562,627,24,43,23,459
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",20,1,1,,,2,1,2,13
"Ocupantes presentes (023)",41,3,1,,,5,1,5,26
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",16294,1309,2609,1431,2256,561,727,381,7020
"Ocupantes presentes (029)",53318,4032,8316,4725,7569,1971,2508,1321,22876
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",14822,1148,2275,1210,1996,548,691,366,6588
"Ocupantes presentes (032)",49248,3615,7403,4143,6902,1929,2394,1261,21601
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",216,,6,2,5,,10,,193
"Ocupantes presentes (035)",677,,21,12,13,,36,,595
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",55,3,4,1,5,,3,4,35
"Ocupantes presentes (038)",194,8,15,2,17,,7,32,113
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",49,2,3,2,3,2,7,,30
"Ocupantes presentes (041)",160,10,12,6,10,13,27,,82
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",1132,155,320,216,247,9,15,9,161
"Ocupantes presentes (047)",2998,396,864,562,627,24,43,23,459
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",20,1,1,,,2,1,2,13
"Ocupantes presentes (050)",41,3,1,,,5,1,5,26
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",793,19,38,44,47,6,2,2,635
"Ocupantes presentes (056)",2463,48,99,153,164,27,4,3,1965
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",778,14,37,42,47,6,2,2,628
"Ocupantes presentes (059)",2427,41,96,145,164,27,4,3,1947
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",15,5,1,2,,,,,7
"Ocupantes presentes (071)",36,7,3,8,,,,,18
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
