"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia PASCO (000)",34693,144874,26737,110696,7956,34178
"Casa independiente (001)",30276,128086,23570,98572,6706,29514
"Departamento en edificio (002)",721,3006,721,3006,,
"Vivienda en quinta (003)",1080,4010,1080,4010,,
"Vivienda en casa de vecindad (004)",1258,4763,1258,4763,,
"Choza o cabaña (005)",1231,4584,,,1231,4584
"Vivienda improvisada (006)",45,174,45,174,,
"Local no dest.para hab. humana (007)",58,180,47,137,11,43
"Otro tipo (008)",24,71,16,34,8,37
