"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia OXAPAMPA (000)",19105,79447,7036,28409,12069,51038
"Casa independiente (001)",14004,58301,6114,25363,7890,32938
"Departamento en edificio (002)",62,178,62,178,,
"Vivienda en quinta (003)",377,1242,377,1242,,
"Vivienda en casa de vecindad (004)",349,1142,349,1142,,
"Choza o cabaña (005)",4149,17996,,,4149,17996
"Vivienda improvisada (006)",89,350,89,350,,
"Local no dest.para hab. humana (007)",47,162,25,80,22,82
"Otro tipo (008)",28,76,20,54,8,22
