"CUADRO Nº 7: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL DE PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LAS PAREDES EXTERIORES DE LA VIVIENDA",,,,,,,
,,"LADRILLO O BLOQUE DE CEMENTO","ADOBE O TAPIA","MADERA (PONA, TOR-NILLO, ETC.)","QUINCHA (CAÑA CON BARRO)",ESTERA,"PIEDRA CON BARRO","PIEDRA O SILLAR CON CAL O CEMENTO","OTRO MATERIAL"
,,,,,,,,,
"Provincia TALARA",,,,,,,,,
"Viviendas particulares (001)",29040,20356,333,5926,1289,168,39,53,876
"Ocupantes presentes (002)",127209,91022,1453,24954,5243,624,142,209,3562
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",28387,20084,329,5714,1220,146,36,53,805
"Ocupantes presentes (005)",124972,90152,1439,24155,4980,569,139,209,3329
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",166,163,,3,,,,,
"Ocupantes presentes (008)",503,490,,13,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",35,16,1,16,2,,,,
"Ocupantes presentes (011)",137,62,1,62,12,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",85,48,1,22,2,,,,12
"Ocupantes presentes (014)",343,212,4,81,2,,,,44
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",92,,2,5,63,12,3,,7
"Ocupantes presentes (017)",319,,9,13,243,20,3,,31
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",212,,,161,,10,,,41
"Ocupantes presentes (020)",784,,,615,,35,,,134
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",53,45,,5,2,,,,1
"Ocupantes presentes (023)",129,106,,15,6,,,,2
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",10,,,,,,,,10
"Ocupantes presentes (026)",22,,,,,,,,22
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",28481,20099,314,5833,1153,151,28,49,854
"Ocupantes presentes (029)",125021,89839,1389,24645,4763,588,116,199,3482
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",27921,19827,312,5626,1147,141,28,49,791
"Ocupantes presentes (032)",123107,88969,1384,23859,4743,553,116,199,3284
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",166,163,,3,,,,,
"Ocupantes presentes (035)",503,490,,13,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",35,16,1,16,2,,,,
"Ocupantes presentes (038)",137,62,1,62,12,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",85,48,1,22,2,,,,12
"Ocupantes presentes (041)",343,212,4,81,2,,,,44
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",212,,,161,,10,,,41
"Ocupantes presentes (047)",784,,,615,,35,,,134
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",53,45,,5,2,,,,1
"Ocupantes presentes (050)",129,106,,15,6,,,,2
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",9,,,,,,,,9
"Ocupantes presentes (053)",18,,,,,,,,18
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",559,257,19,93,136,17,11,4,22
"Ocupantes presentes (056)",2188,1183,64,309,480,36,26,10,80
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",466,257,17,88,73,5,8,4,14
"Ocupantes presentes (059)",1865,1183,55,296,237,16,23,10,45
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",92,,2,5,63,12,3,,7
"Ocupantes presentes (071)",319,,9,13,243,20,3,,31
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",1,,,,,,,,1
"Ocupantes presentes (080)",4,,,,,,,,4
