"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SAN MARTIN (000)",3376,3140,236
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",1069,1039,30
"Casa pensión (003)",53,53,
"Hospital, clinica (004)",271,271,
"Cárcel, centro de readaptación social (005)",469,469,
"Aldea infantil, orfelinato, etc (007)",44,44,
"Otro (008)",1099,896,203
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",371,368,3
