"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia ZARUMILLA",,,,,,,
"Viviendas particulares (001)",10243,1098,2808,749,4867,271,450
"Ocupantes presentes (002)",39616,3541,10347,3136,19956,932,1704
"Casa independiente",,,,,,,
"Viviendas particulares (004)",9853,830,2786,735,4809,253,440
"Ocupantes presentes (005)",38457,2825,10271,3088,19733,871,1669
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",70,54,,1,9,6,
"Ocupantes presentes (008)",203,148,,5,32,18,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",188,161,,3,20,1,3
"Ocupantes presentes (011)",519,404,,7,88,3,17
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",32,13,,10,7,2,
"Ocupantes presentes (014)",110,39,,36,30,5,
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",8,1,,,6,1,
"Ocupantes presentes (017)",18,1,,,13,4,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",39,6,22,,3,4,4
"Ocupantes presentes (020)",136,18,76,,9,23,10
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",28,11,,,13,4,
"Ocupantes presentes (023)",102,43,,,51,8,
"Otro tipo",,,,,,,
"Viviendas particulares (025)",25,22,,,,,3
"Ocupantes presentes (026)",71,63,,,,,8
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",9281,1065,2570,724,4343,246,333
"Ocupantes presentes (029)",35909,3439,9448,3029,17912,869,1212
"Casa independiente",,,,,,,
"Viviendas particulares (031)",8901,798,2548,710,4292,230,323
"Ocupantes presentes (032)",34775,2724,9372,2981,17705,816,1177
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",70,54,,1,9,6,
"Ocupantes presentes (035)",203,148,,5,32,18,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",188,161,,3,20,1,3
"Ocupantes presentes (038)",519,404,,7,88,3,17
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",32,13,,10,7,2,
"Ocupantes presentes (041)",110,39,,36,30,5,
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",39,6,22,,3,4,4
"Ocupantes presentes (047)",136,18,76,,9,23,10
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",26,11,,,12,3,
"Ocupantes presentes (050)",95,43,,,48,4,
"Otro tipo",,,,,,,
"Viviendas particulares (052)",25,22,,,,,3
"Ocupantes presentes (053)",71,63,,,,,8
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",962,33,238,25,524,25,117
"Ocupantes presentes (056)",3707,102,899,107,2044,63,492
"Casa independiente",,,,,,,
"Viviendas particulares (058)",952,32,238,25,517,23,117
"Ocupantes presentes (059)",3682,101,899,107,2028,55,492
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",8,1,,,6,1,
"Ocupantes presentes (071)",18,1,,,13,4,
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",2,,,,1,1,
"Ocupantes presentes (077)",7,,,,3,4,
"Otro tipo",,,,,,,
