"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia PURUS (000)",919,864,736,127,1,55,,10,45,
"Casa independiente (001)",905,850,722,127,1,55,,10,45,
"Choza o cabaña (005)",2,2,2,,,,,,,
"Vivienda improvisada (006)",4,4,4,,,,,,,
"Local no dest.para hab. humana (007)",8,8,8,,,,,,,
,,,,,,,,,,
"URBANA (009)",288,270,249,20,1,18,,6,12,
"Casa independiente (010)",281,263,242,20,1,18,,6,12,
"Vivienda improvisada (015)",4,4,4,,,,,,,
"Local no dest.para hab. humana (016)",3,3,3,,,,,,,
,,,,,,,,,,
"RURAL (018)",631,594,487,107,,37,,4,33,
"Casa independiente (019)",624,587,480,107,,37,,4,33,
"Choza o cabaña (023)",2,2,2,,,,,,,
"Local no dest.para hab. humana (025)",5,5,5,,,,,,,
