"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia PURUS",,,,,,,,,
"Viviendas particulares (001)",736,,4,,,413,259,55,5
"Ocupantes presentes (002)",3527,,16,,,2020,1236,236,19
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",722,,4,,,408,251,54,5
"Ocupantes presentes (005)",3479,,16,,,2000,1210,234,19
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",2,,,,,,2,,
"Ocupantes presentes (017)",5,,,,,,5,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",4,,,,,1,3,,
"Ocupantes presentes (020)",20,,,,,6,14,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",8,,,,,4,3,1,
"Ocupantes presentes (023)",23,,,,,14,7,2,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",249,,2,,,176,11,55,5
"Ocupantes presentes (029)",1069,,8,,,746,60,236,19
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",242,,2,,,173,8,54,5
"Ocupantes presentes (032)",1037,,8,,,730,46,234,19
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",4,,,,,1,3,,
"Ocupantes presentes (047)",20,,,,,6,14,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",3,,,,,2,,1,
"Ocupantes presentes (050)",12,,,,,10,,2,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",487,,2,,,237,248,,
"Ocupantes presentes (056)",2458,,8,,,1274,1176,,
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",480,,2,,,235,243,,
"Ocupantes presentes (059)",2442,,8,,,1270,1164,,
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",2,,,,,,2,,
"Ocupantes presentes (071)",5,,,,,,5,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",5,,,,,2,3,,
"Ocupantes presentes (077)",11,,,,,4,7,,
"Otro tipo",,,,,,,,,
