"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia COTABAMBAS",,,,,,
"Viviendas particulares (001)",11224,11117,97,10,,
"Ocupantes presentes (002)",45009,44187,720,102,,
"Casa independiente",,,,,,
"Viviendas particulares (004)",9142,9037,96,9,,
"Ocupantes presentes (005)",36197,35389,715,93,,
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",5,5,,,,
"Ocupantes presentes (008)",22,22,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",5,5,,,,
"Ocupantes presentes (011)",15,15,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",57,55,1,1,,
"Ocupantes presentes (014)",170,156,5,9,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",2000,2000,,,,
"Ocupantes presentes (017)",8579,8579,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",10,10,,,,
"Ocupantes presentes (023)",17,17,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",5,5,,,,
"Ocupantes presentes (026)",9,9,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",2967,2886,71,10,,
"Ocupantes presentes (029)",11590,10949,539,102,,
"Casa independiente",,,,,,
"Viviendas particulares (031)",2891,2812,70,9,,
"Ocupantes presentes (032)",11367,10740,534,93,,
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",5,5,,,,
"Ocupantes presentes (035)",22,22,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",5,5,,,,
"Ocupantes presentes (038)",15,15,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",57,55,1,1,,
"Ocupantes presentes (041)",170,156,5,9,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",5,5,,,,
"Ocupantes presentes (050)",8,8,,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",4,4,,,,
"Ocupantes presentes (053)",8,8,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",8257,8231,26,,,
"Ocupantes presentes (056)",33419,33238,181,,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",6251,6225,26,,,
"Ocupantes presentes (059)",24830,24649,181,,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",2000,2000,,,,
"Ocupantes presentes (071)",8579,8579,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",5,5,,,,
"Ocupantes presentes (077)",9,9,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",1,1,,,,
"Ocupantes presentes (080)",1,1,,,,
