"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia CANGALLO",,,,,,
"Viviendas particulares (001)",9763,9706,50,6,1,
"Ocupantes presentes (002)",34605,34141,388,57,19,
"Casa independiente",,,,,,
"Viviendas particulares (004)",9196,9144,47,5,,
"Ocupantes presentes (005)",32881,32460,371,50,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",35,34,,1,,
"Ocupantes presentes (011)",90,83,,7,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",41,37,3,,1,
"Ocupantes presentes (014)",158,122,17,,19,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",485,485,,,,
"Ocupantes presentes (017)",1457,1457,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",6,6,,,,
"Ocupantes presentes (023)",19,19,,,,
"Otro tipo",,,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",3326,3284,35,6,1,
"Ocupantes presentes (029)",11889,11542,271,57,19,
"Casa independiente",,,,,,
"Viviendas particulares (031)",3245,3208,32,5,,
"Ocupantes presentes (032)",11627,11323,254,50,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",35,34,,1,,
"Ocupantes presentes (038)",90,83,,7,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",41,37,3,,1,
"Ocupantes presentes (041)",158,122,17,,19,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",5,5,,,,
"Ocupantes presentes (050)",14,14,,,,
"Otro tipo",,,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",6437,6422,15,,,
"Ocupantes presentes (056)",22716,22599,117,,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",5951,5936,15,,,
"Ocupantes presentes (059)",21254,21137,117,,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",485,485,,,,
"Ocupantes presentes (071)",1457,1457,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",1,1,,,,
"Ocupantes presentes (077)",5,5,,,,
"Otro tipo",,,,,,
