"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia CUSCO",,,,,,,,,
"Hogares (001)",95385,5519,2152,1414,1027,652,423,485,83713
"Ocupantes presentes (002)",357236,19524,6873,4537,3879,2853,1953,2599,315018
"Casa independiente",,,,,,,,,
"Hogares (004)",72419,4235,1637,1067,799,536,349,401,63395
"Ocupantes presentes (005)",282743,15778,5468,3545,3032,2388,1645,2218,248669
"Departamento en edificio",,,,,,,,,
"Hogares (007)",6140,455,173,109,68,30,14,18,5273
"Ocupantes presentes (008)",20399,1425,503,310,243,115,55,59,17689
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",5121,310,130,61,55,27,22,20,4496
"Ocupantes presentes (011)",16408,925,356,176,208,96,81,83,14483
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",11045,496,204,173,101,58,37,44,9932
"Ocupantes presentes (014)",35581,1341,534,495,379,247,166,231,32188
"Choza o cabaña",,,,,,,,,
"Hogares (016)",269,1,2,,,1,1,2,262
"Ocupantes presentes (017)",1046,3,4,,,7,6,8,1018
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",117,9,1,1,2,,,,104
"Ocupantes presentes (020)",278,15,1,3,8,,,,251
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",142,6,,,2,,,,134
"Ocupantes presentes (023)",420,18,,,9,,,,393
"Otro tipo",,,,,,,,,
"Hogares (025)",132,7,5,3,,,,,117
"Ocupantes presentes (026)",361,19,7,8,,,,,327
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",91439,5436,2128,1392,1019,643,411,472,79938
"Ocupantes presentes (029)",341229,19236,6795,4461,3850,2808,1887,2512,299680
"Casa independiente",,,,,,,,,
"Hogares (031)",68743,4153,1615,1045,791,528,338,390,59883
"Ocupantes presentes (032)",267790,15493,5394,3469,3003,2350,1585,2139,234357
"Departamento en edificio",,,,,,,,,
"Hogares (034)",6140,455,173,109,68,30,14,18,5273
"Ocupantes presentes (035)",20399,1425,503,310,243,115,55,59,17689
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",5121,310,130,61,55,27,22,20,4496
"Ocupantes presentes (038)",16408,925,356,176,208,96,81,83,14483
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",11045,496,204,173,101,58,37,44,9932
"Ocupantes presentes (041)",35581,1341,534,495,379,247,166,231,32188
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",117,9,1,1,2,,,,104
"Ocupantes presentes (047)",278,15,1,3,8,,,,251
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",141,6,,,2,,,,133
"Ocupantes presentes (050)",412,18,,,9,,,,385
"Otro tipo",,,,,,,,,
"Hogares (052)",132,7,5,3,,,,,117
"Ocupantes presentes (053)",361,19,7,8,,,,,327
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",3946,83,24,22,8,9,12,13,3775
"Ocupantes presentes (056)",16007,288,78,76,29,45,66,87,15338
"Casa independiente",,,,,,,,,
"Hogares (058)",3676,82,22,22,8,8,11,11,3512
"Ocupantes presentes (059)",14953,285,74,76,29,38,60,79,14312
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",269,1,2,,,1,1,2,262
"Ocupantes presentes (071)",1046,3,4,,,7,6,8,1018
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",1,,,,,,,,1
"Ocupantes presentes (077)",8,,,,,,,,8
"Otro tipo",,,,,,,,,
