"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia CAÑETE",,,,,,,,,
"Hogares (001)",50260,1827,593,356,270,171,129,114,46800
"Ocupantes presentes (002)",198348,6763,2010,1187,1023,743,582,568,185472
"Casa independiente",,,,,,,,,
"Hogares (004)",46168,1713,551,328,248,162,114,103,42949
"Ocupantes presentes (005)",184110,6383,1895,1095,946,712,526,525,172028
"Departamento en edificio",,,,,,,,,
"Hogares (007)",394,14,6,2,3,1,3,,365
"Ocupantes presentes (008)",1352,50,21,5,12,4,7,,1253
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",456,20,4,6,4,,3,2,417
"Ocupantes presentes (011)",1677,61,13,22,13,,9,5,1554
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",300,13,7,5,2,2,1,3,267
"Ocupantes presentes (014)",1076,30,15,17,8,4,6,18,978
"Choza o cabaña",,,,,,,,,
"Hogares (016)",738,13,8,1,1,,,3,712
"Ocupantes presentes (017)",2121,34,18,2,2,,,10,2055
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",1969,47,10,11,11,6,6,3,1875
"Ocupantes presentes (020)",7262,182,38,35,41,23,26,10,6907
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",127,5,4,3,1,,1,,113
"Ocupantes presentes (023)",340,17,6,11,1,,6,,299
"Otro tipo",,,,,,,,,
"Hogares (025)",108,2,3,,,,1,,102
"Ocupantes presentes (026)",410,6,4,,,,2,,398
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",41801,1652,531,327,247,164,118,106,38656
"Ocupantes presentes (029)",166965,6130,1804,1111,949,720,533,540,155178
"Casa independiente",,,,,,,,,
"Hogares (031)",38516,1551,498,300,226,155,103,98,35585
"Ocupantes presentes (032)",155091,5784,1708,1021,874,689,477,507,144031
"Departamento en edificio",,,,,,,,,
"Hogares (034)",394,14,6,2,3,1,3,,365
"Ocupantes presentes (035)",1352,50,21,5,12,4,7,,1253
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",456,20,4,6,4,,3,2,417
"Ocupantes presentes (038)",1677,61,13,22,13,,9,5,1554
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",300,13,7,5,2,2,1,3,267
"Ocupantes presentes (041)",1076,30,15,17,8,4,6,18,978
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",1969,47,10,11,11,6,6,3,1875
"Ocupantes presentes (047)",7262,182,38,35,41,23,26,10,6907
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",104,5,3,3,1,,1,,91
"Ocupantes presentes (050)",273,17,5,11,1,,6,,233
"Otro tipo",,,,,,,,,
"Hogares (052)",62,2,3,,,,1,,56
"Ocupantes presentes (053)",234,6,4,,,,2,,222
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",8459,175,62,29,23,7,11,8,8144
"Ocupantes presentes (056)",31383,633,206,76,74,23,49,28,30294
"Casa independiente",,,,,,,,,
"Hogares (058)",7652,162,53,28,22,7,11,5,7364
"Ocupantes presentes (059)",29019,599,187,74,72,23,49,18,27997
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",738,13,8,1,1,,,3,712
"Ocupantes presentes (071)",2121,34,18,2,2,,,10,2055
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",23,,1,,,,,,22
"Ocupantes presentes (077)",67,,1,,,,,,66
"Otro tipo",,,,,,,,,
"Hogares (079)",46,,,,,,,,46
"Ocupantes presentes (080)",176,,,,,,,,176
