"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia HUARAL",,,,,,,,
"Hogares (001)",41319,28506,30687,13646,5501,15485,3762,3932
"Ocupantes presentes (002)",161991,113735,127387,58760,23566,66249,16503,11755
"Casa independiente",,,,,,,,
"Hogares (004)",37664,26194,28087,12598,5034,14489,3465,3449
"Ocupantes presentes (005)",149183,105499,117634,54761,21761,62516,15334,10409
"Departamento en edificio",,,,,,,,
"Hogares (007)",822,562,730,367,218,408,169,50
"Ocupantes presentes (008)",2702,1872,2480,1344,815,1461,641,131
"Vivienda en quinta",,,,,,,,
"Hogares (010)",847,551,667,288,134,285,56,81
"Ocupantes presentes (011)",2903,1904,2447,1085,517,1088,239,210
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",808,528,607,247,106,216,67,86
"Ocupantes presentes (014)",2909,1929,2351,999,435,834,274,211
"Choza o cabaña",,,,,,,,
"Hogares (016)",312,219,105,15,1,17,1,72
"Ocupantes presentes (017)",1110,800,480,69,6,89,6,218
"Vivienda improvisada",,,,,,,,
"Hogares (019)",789,410,448,122,5,54,,175
"Ocupantes presentes (020)",2971,1596,1860,474,19,218,,534
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",70,40,42,9,3,16,4,14
"Ocupantes presentes (023)",195,129,134,28,13,43,9,30
"Otro tipo",,,,,,,,
"Hogares (025)",7,2,1,,,,,5
"Ocupantes presentes (026)",18,6,1,,,,,12
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",34273,23420,26989,12365,5231,13820,3630,2972
"Ocupantes presentes (029)",135396,94138,112014,53190,22383,59040,15876,8860
"Casa independiente",,,,,,,,
"Hogares (031)",30943,21334,24498,11332,4765,12842,3334,2566
"Ocupantes presentes (032)",123732,86718,102755,49260,20584,55401,14713,7745
"Departamento en edificio",,,,,,,,
"Hogares (034)",822,562,730,367,218,408,169,50
"Ocupantes presentes (035)",2702,1872,2480,1344,815,1461,641,131
"Vivienda en quinta",,,,,,,,
"Hogares (037)",847,551,667,288,134,285,56,81
"Ocupantes presentes (038)",2903,1904,2447,1085,517,1088,239,210
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",808,528,607,247,106,216,67,86
"Ocupantes presentes (041)",2909,1929,2351,999,435,834,274,211
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",789,410,448,122,5,54,,175
"Ocupantes presentes (047)",2971,1596,1860,474,19,218,,534
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",60,34,39,9,3,15,4,11
"Ocupantes presentes (050)",164,114,121,28,13,38,9,19
"Otro tipo",,,,,,,,
"Hogares (052)",4,1,,,,,,3
"Ocupantes presentes (053)",15,5,,,,,,10
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",7046,5086,3698,1281,270,1665,132,960
"Ocupantes presentes (056)",26595,19597,15373,5570,1183,7209,627,2895
"Casa independiente",,,,,,,,
"Hogares (058)",6721,4860,3589,1266,269,1647,131,883
"Ocupantes presentes (059)",25451,18781,14879,5501,1177,7115,621,2664
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",312,219,105,15,1,17,1,72
"Ocupantes presentes (071)",1110,800,480,69,6,89,6,218
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",10,6,3,,,1,,3
"Ocupantes presentes (077)",31,15,13,,,5,,11
"Otro tipo",,,,,,,,
"Hogares (079)",3,1,1,,,,,2
"Ocupantes presentes (080)",3,1,1,,,,,2
