"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia HUARAZ (000)",147463,2600,41194,40829,29999,22215,10626
"Hombres (001)",72215,1338,20939,19976,14494,10642,4826
"Mujeres (002)",75248,1262,20255,20853,15505,11573,5800
"Viviendas particulares (003)",144814,2580,40960,39785,29174,21785,10530
"Hombres (004)",70406,1325,20843,19263,13873,10337,4765
"Mujeres (005)",74408,1255,20117,20522,15301,11448,5765
"Viviendas colectivas (006)",2154,18,190,852,674,338,82
"Hombres (007)",1458,11,69,583,504,241,50
"Mujeres (008)",696,7,121,269,170,97,32
"Otro tipo (009)",495,2,44,192,151,92,14
"Hombres (010)",351,2,27,130,117,64,11
"Mujeres (011)",144,,17,62,34,28,3
,,,,,,,
"URBANA (012)",109376,1913,28789,31624,23517,16609,6924
"Hombres (013)",53383,979,14674,15307,11305,7969,3149
"Mujeres (014)",55993,934,14115,16317,12212,8640,3775
"Viviendas particulares (015)",106888,1893,28556,30636,22764,16211,6828
"Hombres (016)",51728,966,14579,14646,10753,7696,3088
"Mujeres (017)",55160,927,13977,15990,12011,8515,3740
"Viviendas colectivas (018)",1995,18,189,796,603,307,82
"Hombres (019)",1306,11,68,531,436,210,50
"Mujeres (020)",689,7,121,265,167,97,32
"Otro tipo (021)",493,2,44,192,150,91,14
"Hombres (022)",349,2,27,130,116,63,11
"Mujeres (023)",144,,17,62,34,28,3
,,,,,,,
"RURAL (024)",38087,687,12405,9205,6482,5606,3702
"Hombres (025)",18832,359,6265,4669,3189,2673,1677
"Mujeres (026)",19255,328,6140,4536,3293,2933,2025
"Viviendas particulares (027)",37926,687,12404,9149,6410,5574,3702
"Hombres (028)",18678,359,6264,4617,3120,2641,1677
"Mujeres (029)",19248,328,6140,4532,3290,2933,2025
"Viviendas colectivas (030)",159,,1,56,71,31,
"Hombres (031)",152,,1,52,68,31,
"Mujeres (032)",7,,,4,3,,
"Otro tipo (033)",2,,,,1,1,
"Hombres (034)",2,,,,1,1,
