"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia POMABAMBA (000)",27783,585,10184,6547,4583,3791,2093
"Jefe o Jefa (001)",6543,,10,971,2160,2137,1265
"Esposa(o) / compañera(o) (002)",4416,,9,953,1703,1313,438
"Hijo(a) / hijastro(a) (003)",13161,429,8563,3645,442,78,4
"Yerno / nuera (004)",351,,4,235,86,24,2
"Nieto(a) (005)",1417,110,1089,208,10,,
"Padres / suegros (006)",336,,,,9,83,244
"Otro(a) pariente (007)",1239,42,469,385,118,114,111
"Trabajador(a) del hogar (008)",70,,3,49,6,6,6
"Pensionistas (009)",23,,5,4,10,4,
"Otro(a) no pariente (010)",227,4,32,97,39,32,23
"Hombres (011)",13384,304,5099,3135,2216,1758,872
"Jefe o Jefa (012)",4784,,4,755,1742,1554,729
"Esposa(o) / compañera(o) (013)",258,,2,66,78,77,35
"Hijo(a) / hijastro(a) (014)",6673,223,4318,1870,228,33,1
"Yerno / nuera (015)",159,,2,89,54,13,1
"Nieto(a) (016)",691,63,527,99,2,,
"Padres / suegros (017)",76,,,,4,22,50
"Otro(a) pariente (018)",597,14,230,200,72,37,44
"Trabajador(a) del hogar (019)",16,,,9,3,2,2
"Pensionistas (020)",14,,,2,8,4,
"Otro(a) no pariente (021)",116,4,16,45,25,16,10
"Mujeres (022)",14399,281,5085,3412,2367,2033,1221
"Jefe o Jefa (023)",1759,,6,216,418,583,536
"Esposa(o) / compañera(o) (024)",4158,,7,887,1625,1236,403
"Hijo(a) / hijastro(a) (025)",6488,206,4245,1775,214,45,3
"Yerno / nuera (026)",192,,2,146,32,11,1
"Nieto(a) (027)",726,47,562,109,8,,
"Padres / suegros (028)",260,,,,5,61,194
"Otro(a) pariente (029)",642,28,239,185,46,77,67
"Trabajador(a) del hogar (030)",54,,3,40,3,4,4
"Pensionistas (031)",9,,5,2,2,,
"Otro(a) no pariente (032)",111,,16,52,14,16,13
,,,,,,,
"URBANA (033)",5971,111,1829,1533,1186,884,428
"Jefe o Jefa (034)",1519,,3,217,558,486,255
"Esposa(o) / compañera(o) (035)",915,,6,208,375,262,64
"Hijo(a) / hijastro(a) (036)",2390,70,1451,726,117,25,1
"Yerno / nuera (037)",92,,1,47,35,9,
"Nieto(a) (038)",282,25,215,38,4,,
"Padres / suegros (039)",103,,,,8,31,64
"Otro(a) pariente (040)",452,14,130,171,56,48,33
"Trabajador(a) del hogar (041)",51,,2,43,1,3,2
"Pensionistas (042)",13,,1,3,6,3,
"Otro(a) no pariente (043)",154,2,20,80,26,17,9
"Hombres (044)",2869,61,897,719,590,417,185
"Jefe o Jefa (045)",1048,,,154,412,336,146
"Esposa(o) / compañera(o) (046)",88,,1,22,29,28,8
"Hijo(a) / hijastro(a) (047)",1193,33,721,365,64,10,
"Yerno / nuera (048)",49,,1,18,26,4,
"Nieto(a) (049)",139,19,98,21,1,,
"Padres / suegros (050)",28,,,,4,9,15
"Otro(a) pariente (051)",227,7,62,93,35,18,12
"Trabajador(a) del hogar (052)",9,,,6,,2,1
"Pensionistas (053)",9,,,2,4,3,
"Otro(a) no pariente (054)",79,2,14,38,15,7,3
"Mujeres (055)",3102,50,932,814,596,467,243
"Jefe o Jefa (056)",471,,3,63,146,150,109
"Esposa(o) / compañera(o) (057)",827,,5,186,346,234,56
"Hijo(a) / hijastro(a) (058)",1197,37,730,361,53,15,1
"Yerno / nuera (059)",43,,,29,9,5,
"Nieto(a) (060)",143,6,117,17,3,,
"Padres / suegros (061)",75,,,,4,22,49
"Otro(a) pariente (062)",225,7,68,78,21,30,21
"Trabajador(a) del hogar (063)",42,,2,37,1,1,1
"Pensionistas (064)",4,,1,1,2,,
"Otro(a) no pariente (065)",75,,6,42,11,10,6
,,,,,,,
"RURAL (066)",21812,474,8355,5014,3397,2907,1665
"Jefe o Jefa (067)",5024,,7,754,1602,1651,1010
"Esposa(o) / compañera(o) (068)",3501,,3,745,1328,1051,374
"Hijo(a) / hijastro(a) (069)",10771,359,7112,2919,325,53,3
"Yerno / nuera (070)",259,,3,188,51,15,2
"Nieto(a) (071)",1135,85,874,170,6,,
"Padres / suegros (072)",233,,,,1,52,180
"Otro(a) pariente (073)",787,28,339,214,62,66,78
"Trabajador(a) del hogar (074)",19,,1,6,5,3,4
"Pensionistas (075)",10,,4,1,4,1,
"Otro(a) no pariente (076)",73,2,12,17,13,15,14
"Hombres (077)",10515,243,4202,2416,1626,1341,687
"Jefe o Jefa (078)",3736,,4,601,1330,1218,583
"Esposa(o) / compañera(o) (079)",170,,1,44,49,49,27
"Hijo(a) / hijastro(a) (080)",5480,190,3597,1505,164,23,1
"Yerno / nuera (081)",110,,1,71,28,9,1
"Nieto(a) (082)",552,44,429,78,1,,
"Padres / suegros (083)",48,,,,,13,35
"Otro(a) pariente (084)",370,7,168,107,37,19,32
"Trabajador(a) del hogar (085)",7,,,3,3,,1
"Pensionistas (086)",5,,,,4,1,
"Otro(a) no pariente (087)",37,2,2,7,10,9,7
"Mujeres (088)",11297,231,4153,2598,1771,1566,978
"Jefe o Jefa (089)",1288,,3,153,272,433,427
"Esposa(o) / compañera(o) (090)",3331,,2,701,1279,1002,347
"Hijo(a) / hijastro(a) (091)",5291,169,3515,1414,161,30,2
"Yerno / nuera (092)",149,,2,117,23,6,1
"Nieto(a) (093)",583,41,445,92,5,,
"Padres / suegros (094)",185,,,,1,39,145
"Otro(a) pariente (095)",417,21,171,107,25,47,46
"Trabajador(a) del hogar (096)",12,,1,3,2,3,3
"Pensionistas (097)",5,,4,1,,,
"Otro(a) no pariente (098)",36,,10,10,3,6,7
