"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia SANTA (000)",392074,6610,103822,106175,84656,63757,27054
"Jefe o Jefa (001)",95635,,82,10744,32580,35443,16786
"Esposa(o) / compañera(o) (002)",59204,,80,11075,23535,19342,5172
"Hijo(a) / hijastro(a) (003)",161715,3744,74615,60740,18945,3611,60
"Yerno / nuera (004)",8622,,57,4453,3490,592,30
"Nieto(a) (005)",31085,2307,21889,6500,364,25,
"Padres / suegros (006)",4719,,,2,112,1210,3395
"Otro(a) pariente (007)",25439,515,6494,9938,4325,2821,1346
"Trabajador(a) del hogar (008)",555,,19,397,89,42,8
"Pensionistas (009)",432,,12,221,110,63,26
"Otro(a) no pariente (010)",4668,44,574,2105,1106,608,231
"Hombres (011)",194585,3392,52906,52717,40917,30692,13961
"Jefe o Jefa (012)",68196,,44,7631,23969,24910,11642
"Esposa(o) / compañera(o) (013)",4363,,52,986,1638,1212,475
"Hijo(a) / hijastro(a) (014)",83702,1932,38030,32306,9627,1785,22
"Yerno / nuera (015)",4423,,34,1655,2259,453,22
"Nieto(a) (016)",16056,1165,11170,3505,201,15,
"Padres / suegros (017)",1408,,,,42,326,1040
"Otro(a) pariente (018)",13606,269,3274,5362,2495,1600,606
"Trabajador(a) del hogar (019)",42,,4,20,7,9,2
"Pensionistas (020)",298,,7,146,81,45,19
"Otro(a) no pariente (021)",2491,26,291,1106,598,337,133
"Mujeres (022)",197489,3218,50916,53458,43739,33065,13093
"Jefe o Jefa (023)",27439,,38,3113,8611,10533,5144
"Esposa(o) / compañera(o) (024)",54841,,28,10089,21897,18130,4697
"Hijo(a) / hijastro(a) (025)",78013,1812,36585,28434,9318,1826,38
"Yerno / nuera (026)",4199,,23,2798,1231,139,8
"Nieto(a) (027)",15029,1142,10719,2995,163,10,
"Padres / suegros (028)",3311,,,2,70,884,2355
"Otro(a) pariente (029)",11833,246,3220,4576,1830,1221,740
"Trabajador(a) del hogar (030)",513,,15,377,82,33,6
"Pensionistas (031)",134,,5,75,29,18,7
"Otro(a) no pariente (032)",2177,18,283,999,508,271,98
,,,,,,,
"URBANA (033)",366116,6164,95701,99451,79876,59899,25025
"Jefe o Jefa (034)",89013,,72,9790,30406,33205,15540
"Esposa(o) / compañera(o) (035)",54816,,77,9946,21939,18108,4746
"Hijo(a) / hijastro(a) (036)",150465,3439,68129,57115,18252,3476,54
"Yerno / nuera (037)",8244,,51,4183,3404,576,30
"Nieto(a) (038)",29546,2191,20741,6242,349,23,
"Padres / suegros (039)",4361,,,2,102,1131,3126
"Otro(a) pariente (040)",24182,490,6051,9514,4155,2696,1276
"Trabajador(a) del hogar (041)",550,,19,394,89,40,8
"Pensionistas (042)",427,,12,220,108,62,25
"Otro(a) no pariente (043)",4512,44,549,2045,1072,582,220
"Hombres (044)",180685,3174,48606,49093,38324,28591,12897
"Jefe o Jefa (045)",62904,,37,6844,22161,23112,10750
"Esposa(o) / compañera(o) (046)",4090,,51,926,1535,1135,443
"Hijo(a) / hijastro(a) (047)",77393,1787,34594,30118,9170,1704,20
"Yerno / nuera (048)",4262,,31,1562,2202,445,22
"Nieto(a) (049)",15213,1106,10564,3339,190,14,
"Padres / suegros (050)",1274,,,,37,294,943
"Otro(a) pariente (051)",12846,255,3042,5083,2373,1520,573
"Trabajador(a) del hogar (052)",41,,4,20,7,8,2
"Pensionistas (053)",295,,7,145,80,45,18
"Otro(a) no pariente (054)",2367,26,276,1056,569,314,126
"Mujeres (055)",185431,2990,47095,50358,41552,31308,12128
"Jefe o Jefa (056)",26109,,35,2946,8245,10093,4790
"Esposa(o) / compañera(o) (057)",50726,,26,9020,20404,16973,4303
"Hijo(a) / hijastro(a) (058)",73072,1652,33535,26997,9082,1772,34
"Yerno / nuera (059)",3982,,20,2621,1202,131,8
"Nieto(a) (060)",14333,1085,10177,2903,159,9,
"Padres / suegros (061)",3087,,,2,65,837,2183
"Otro(a) pariente (062)",11336,235,3009,4431,1782,1176,703
"Trabajador(a) del hogar (063)",509,,15,374,82,32,6
"Pensionistas (064)",132,,5,75,28,17,7
"Otro(a) no pariente (065)",2145,18,273,989,503,268,94
,,,,,,,
"RURAL (066)",25958,446,8121,6724,4780,3858,2029
"Jefe o Jefa (067)",6622,,10,954,2174,2238,1246
"Esposa(o) / compañera(o) (068)",4388,,3,1129,1596,1234,426
"Hijo(a) / hijastro(a) (069)",11250,305,6486,3625,693,135,6
"Yerno / nuera (070)",378,,6,270,86,16,
"Nieto(a) (071)",1539,116,1148,258,15,2,
"Padres / suegros (072)",358,,,,10,79,269
"Otro(a) pariente (073)",1257,25,443,424,170,125,70
"Trabajador(a) del hogar (074)",5,,,3,,2,
"Pensionistas (075)",5,,,1,2,1,1
"Otro(a) no pariente (076)",156,,25,60,34,26,11
"Hombres (077)",13900,218,4300,3624,2593,2101,1064
"Jefe o Jefa (078)",5292,,7,787,1808,1798,892
"Esposa(o) / compañera(o) (079)",273,,1,60,103,77,32
"Hijo(a) / hijastro(a) (080)",6309,145,3436,2188,457,81,2
"Yerno / nuera (081)",161,,3,93,57,8,
"Nieto(a) (082)",843,59,606,166,11,1,
"Padres / suegros (083)",134,,,,5,32,97
"Otro(a) pariente (084)",760,14,232,279,122,80,33
"Trabajador(a) del hogar (085)",1,,,,,1,
"Pensionistas (086)",3,,,1,1,,1
"Otro(a) no pariente (087)",124,,15,50,29,23,7
"Mujeres (088)",12058,228,3821,3100,2187,1757,965
"Jefe o Jefa (089)",1330,,3,167,366,440,354
"Esposa(o) / compañera(o) (090)",4115,,2,1069,1493,1157,394
"Hijo(a) / hijastro(a) (091)",4941,160,3050,1437,236,54,4
