"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CHINCHEROS (000)",51325,1055,19197,11474,8554,6847,4198
"Casa independiente (001)",50712,1046,19043,11354,8423,6733,4113
"Departamento en edificio (002)",6,,3,,3,,
"Vivienda en quinta (003)",9,1,4,3,1,,
"Vivienda en casa de vecindad (004)",109,2,36,24,31,12,4
"Choza o cabaña (005)",459,6,103,83,93,96,78
"Vivienda improvisada (006)",4,,1,1,,1,1
"Local no destinado para hab.humana (007)",19,,7,4,1,5,2
"Otro tipo (008)",7,,,5,2,,
,,,,,,,
"URBANA (009)",16336,320,6016,3635,3199,2114,1052
"Casa independiente (010)",16201,317,5970,3604,3163,2100,1047
"Departamento en edificio (011)",6,,3,,3,,
"Vivienda en quinta (012)",9,1,4,3,1,,
"Vivienda en casa de vecindad (013)",109,2,36,24,31,12,4
"Vivienda improvisada (015)",4,,1,1,,1,1
"Local no destinado para hab.humana (016)",7,,2,3,1,1,
,,,,,,,
"RURAL (018)",34989,735,13181,7839,5355,4733,3146
"Casa independiente (019)",34511,729,13073,7750,5260,4633,3066
"Choza o cabaña (023)",459,6,103,83,93,96,78
"Local no destinado para hab.humana (025)",12,,5,1,,4,2
"Otro tipo (026)",7,,,5,2,,
