"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia HUAMANGA (000)",221390,108027,113363,161636,78744,82892,59754,29283,30471
"Menores de 1 año (001)",4242,2210,2032,2957,1536,1421,1285,674,611
"Menores de 1 mes (002)",438,227,211,282,141,141,156,86,70
"De 1 a 11 meses (003)",3804,1983,1821,2675,1395,1280,1129,588,541
"De 1 a 4 años (004)",19726,10100,9626,13193,6807,6386,6533,3293,3240
"1 año (005)",4427,2245,2182,2989,1565,1424,1438,680,758
"2 años (006)",4952,2528,2424,3321,1707,1614,1631,821,810
"3 años (007)",5308,2731,2577,3520,1820,1700,1788,911,877
"4 años (008)",5039,2596,2443,3363,1715,1648,1676,881,795
"De 5 a 9 años (009)",25633,13090,12543,17320,8822,8498,8313,4268,4045
"5 años (010)",4837,2453,2384,3215,1616,1599,1622,837,785
"6 años (011)",4897,2445,2452,3364,1709,1655,1533,736,797
"7 años (012)",5381,2748,2633,3609,1822,1787,1772,926,846
"8 años (013)",5377,2793,2584,3662,1892,1770,1715,901,814
"9 años (014)",5141,2651,2490,3470,1783,1687,1671,868,803
"De 10 a 14 años (015)",27309,13728,13581,19246,9608,9638,8063,4120,3943
"10 años (016)",5316,2695,2621,3660,1861,1799,1656,834,822
"11 años (017)",5079,2534,2545,3626,1782,1844,1453,752,701
"12 años (018)",6028,3079,2949,4135,2133,2002,1893,946,947
"13 años (019)",5604,2777,2827,3966,1937,2029,1638,840,798
"14 años (020)",5282,2643,2639,3859,1895,1964,1423,748,675
"De 15 a 19 años (021)",24017,11798,12219,18440,8985,9455,5577,2813,2764
"15 años (022)",5211,2486,2725,3866,1821,2045,1345,665,680
"16 años (023)",4437,2144,2293,3368,1617,1751,1069,527,542
"17 años (024)",4729,2341,2388,3599,1732,1867,1130,609,521
"18 años (025)",4985,2556,2429,3918,2009,1909,1067,547,520
"19 años (026)",4655,2271,2384,3689,1806,1883,966,465,501
"De 20 a 24 años (027)",22245,10935,11310,17546,8638,8908,4699,2297,2402
"20 años (028)",4982,2441,2541,3863,1905,1958,1119,536,583
"21 años (029)",4026,1979,2047,3181,1559,1622,845,420,425
"22 años (030)",4538,2264,2274,3618,1817,1801,920,447,473
"23 años (031)",4353,2116,2237,3411,1659,1752,942,457,485
"24 años (032)",4346,2135,2211,3473,1698,1775,873,437,436
"De 25 a 29 años (033)",18514,8957,9557,14560,7034,7526,3954,1923,2031
"25 años (034)",4258,2060,2198,3392,1648,1744,866,412,454
"26 años (035)",3619,1791,1828,2822,1400,1422,797,391,406
"27 años (036)",3919,1900,2019,3091,1497,1594,828,403,425
"28 años (037)",3635,1769,1866,2837,1368,1469,798,401,397
"29 años (038)",3083,1437,1646,2418,1121,1297,665,316,349
