"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia SANTA CRUZ (000)",25775,24015,1760
"Hombres (001)",12605,12017,588
"Mujeres (002)",13170,11998,1172
"De 18 a 29 años (003)",6968,6510,458
"Hombres (004)",3521,3293,228
"Mujeres (005)",3447,3217,230
"De 30 a 44 años (006)",7981,7760,221
"Hombres (007)",3855,3771,84
"Mujeres (008)",4126,3989,137
"De 45 a 64 años (009)",6699,6349,350
"Hombres (010)",3190,3098,92
"Mujeres (011)",3509,3251,258
"De 65 y más años (012)",4127,3396,731
"Hombres (013)",2039,1855,184
"Mujeres (014)",2088,1541,547
,,,
"URBANA (015)",5747,5543,204
"Hombres (016)",2806,2722,84
"Mujeres (017)",2941,2821,120
"De 18 a 29 años (018)",1531,1476,55
"Hombres (019)",712,683,29
"Mujeres (020)",819,793,26
"De 30 a 44 años (021)",2031,1998,33
"Hombres (022)",993,974,19
"Mujeres (023)",1038,1024,14
"De 45 a 64 años (024)",1430,1399,31
"Hombres (025)",731,721,10
"Mujeres (026)",699,678,21
"De 65 y más años (027)",755,670,85
"Hombres (028)",370,344,26
"Mujeres (029)",385,326,59
,,,
"RURAL (030)",20028,18472,1556
"Hombres (031)",9799,9295,504
"Mujeres (032)",10229,9177,1052
"De 18 a 29 años (033)",5437,5034,403
"Hombres (034)",2809,2610,199
"Mujeres (035)",2628,2424,204
"De 30 a 44 años (036)",5950,5762,188
"Hombres (037)",2862,2797,65
"Mujeres (038)",3088,2965,123
"De 45 a 64 años (039)",5269,4950,319
"Hombres (040)",2459,2377,82
"Mujeres (041)",2810,2573,237
"De 65 y más años (042)",3372,2726,646
"Hombres (043)",1669,1511,158
"Mujeres (044)",1703,1215,488
