"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia DOS DE MAYO (000)",47008,935,18377,11555,7389,5845,2907
"Hombres (001)",23313,469,9343,5735,3521,2876,1369
"Mujeres (002)",23695,466,9034,5820,3868,2969,1538
"Viviendas particulares (003)",46797,932,18370,11466,7315,5814,2900
"Hombres (004)",23150,469,9340,5663,3466,2848,1364
"Mujeres (005)",23647,463,9030,5803,3849,2966,1536
"Viviendas colectivas (006)",142,3,,74,44,18,3
"Hombres (007)",110,,,62,31,16,1
"Mujeres (008)",32,3,,12,13,2,2
"Otro tipo (009)",69,,7,15,30,13,4
"Hombres (010)",53,,3,10,24,12,4
"Mujeres (011)",16,,4,5,6,1,
,,,,,,,
"URBANA (012)",16433,306,5896,4205,2942,2067,1017
"Hombres (013)",8088,149,3009,2069,1377,1035,449
"Mujeres (014)",8345,157,2887,2136,1565,1032,568
"Viviendas particulares (015)",16222,303,5889,4116,2868,2036,1010
"Hombres (016)",7925,149,3006,1997,1322,1007,444
"Mujeres (017)",8297,154,2883,2119,1546,1029,566
"Viviendas colectivas (018)",142,3,,74,44,18,3
"Hombres (019)",110,,,62,31,16,1
"Mujeres (020)",32,3,,12,13,2,2
"Otro tipo (021)",69,,7,15,30,13,4
"Hombres (022)",53,,3,10,24,12,4
"Mujeres (023)",16,,4,5,6,1,
,,,,,,,
"RURAL (024)",30575,629,12481,7350,4447,3778,1890
"Hombres (025)",15225,320,6334,3666,2144,1841,920
"Mujeres (026)",15350,309,6147,3684,2303,1937,970
"Viviendas particulares (027)",30575,629,12481,7350,4447,3778,1890
"Hombres (028)",15225,320,6334,3666,2144,1841,920
"Mujeres (029)",15350,309,6147,3684,2303,1937,970
