"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia TRUJILLO (000)",805409,13952,207184,235348,165431,129764,53730
"Casa independiente (001)",748846,12903,193769,218014,152746,120688,50726
"Departamento en edificio (002)",33366,562,7333,10137,7771,5785,1778
"Vivienda en quinta (003)",11458,208,2680,3410,2515,1887,758
"Vivienda en casa de vecindad (004)",6924,126,1818,2225,1459,954,342
"Choza o cabaña (005)",299,8,97,76,55,43,20
"Vivienda improvisada (006)",3300,123,1187,1113,618,214,45
"Local no destinado para hab.humana (007)",1122,21,273,343,240,188,57
"Otro tipo (008)",94,1,27,30,27,5,4
,,,,,,,
"URBANA (009)",785917,13579,201301,230039,161608,126950,52440
"Casa independiente (010)",729668,12539,187984,212788,148980,117920,49457
"Departamento en edificio (011)",33366,562,7333,10137,7771,5785,1778
"Vivienda en quinta (012)",11458,208,2680,3410,2515,1887,758
"Vivienda en casa de vecindad (013)",6924,126,1818,2225,1459,954,342
"Vivienda improvisada (015)",3300,123,1187,1113,618,214,45
"Local no destinado para hab.humana (016)",1108,20,272,336,238,185,57
"Otro tipo (017)",93,1,27,30,27,5,3
,,,,,,,
"RURAL (018)",19492,373,5883,5309,3823,2814,1290
"Casa independiente (019)",19178,364,5785,5226,3766,2768,1269
"Choza o cabaña (023)",299,8,97,76,55,43,20
"Local no destinado para hab.humana (025)",14,1,1,7,2,3,
"Otro tipo (026)",1,,,,,,1
