"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia LIMA (000)",5295766,5203002,92764
"Hombres (001)",2544583,2501082,43501
"Mujeres (002)",2751183,2701920,49263
"De 18 a 29 años (003)",1786458,1727016,59442
"Hombres (004)",873865,843279,30586
"Mujeres (005)",912593,883737,28856
"De 30 a 44 años (006)",1720703,1708548,12155
"Hombres (007)",827930,821475,6455
"Mujeres (008)",892773,887073,5700
"De 45 a 64 años (009)",1274285,1265990,8295
"Hombres (010)",604600,600832,3768
"Mujeres (011)",669685,665158,4527
"De 65 y más años (012)",514320,501448,12872
"Hombres (013)",238188,235496,2692
"Mujeres (014)",276132,265952,10180
,,,
"URBANA (015)",5289568,5196969,92599
"Hombres (016)",2541219,2497790,43429
"Mujeres (017)",2748349,2699179,49170
"De 18 a 29 años (018)",1784237,1724899,59338
"Hombres (019)",872678,842144,30534
"Mujeres (020)",911559,882755,28804
"De 30 a 44 años (021)",1718641,1706510,12131
"Hombres (022)",826789,820342,6447
"Mujeres (023)",891852,886168,5684
"De 45 a 64 años (024)",1272935,1264650,8285
"Hombres (025)",603883,600117,3766
"Mujeres (026)",669052,664533,4519
"De 65 y más años (027)",513755,500910,12845
"Hombres (028)",237869,235187,2682
"Mujeres (029)",275886,265723,10163
,,,
"RURAL (030)",6198,6033,165
"Hombres (031)",3364,3292,72
"Mujeres (032)",2834,2741,93
"De 18 a 29 años (033)",2221,2117,104
"Hombres (034)",1187,1135,52
"Mujeres (035)",1034,982,52
"De 30 a 44 años (036)",2062,2038,24
"Hombres (037)",1141,1133,8
"Mujeres (038)",921,905,16
"De 45 a 64 años (039)",1350,1340,10
"Hombres (040)",717,715,2
"Mujeres (041)",633,625,8
"De 65 y más años (042)",565,538,27
"Hombres (043)",319,309,10
"Mujeres (044)",246,229,17
