"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia OYON (000)",20642,20448,135,59
"Hombres (001)",10831,10771,36,24
"Mujeres (002)",9811,9677,99,35
"Menores de 1 año (003)",403,364,21,18
"Hombres (004)",205,189,9,7
"Mujeres (005)",198,175,12,11
"De 1 a 5 años (006)",2232,2162,37,33
"Hombres (007)",1106,1074,17,15
"Mujeres (008)",1126,1088,20,18
"De 6 a 14 años (009)",4098,4095,2,1
"Hombres (010)",2095,2093,1,1
"Mujeres (011)",2003,2002,1,
"De 15 a 29 años (012)",5132,5129,2,1
"Hombres (013)",2740,2740,,
"Mujeres (014)",2392,2389,2,1
"De 30 a 44 años (015)",4295,4288,6,1
"Hombres (016)",2404,2403,1,
"Mujeres (017)",1891,1885,5,1
"De 45 a 64 años (018)",2910,2900,9,1
"Hombres (019)",1553,1552,1,
"Mujeres (020)",1357,1348,8,1
"De 65 a más años (021)",1572,1510,58,4
"Hombres (022)",728,720,7,1
"Mujeres (023)",844,790,51,3
,,,,
"URBANA (024)",13308,13183,85,40
"Hombres (025)",6453,6414,24,15
"Mujeres (026)",6855,6769,61,25
"Menores de 1 año (027)",303,276,15,12
"Hombres (028)",148,137,6,5
"Mujeres (029)",155,139,9,7
"De 1 a 5 años (030)",1562,1513,26,23
"Hombres (031)",783,760,13,10
"Mujeres (032)",779,753,13,13
"De 6 a 14 años (033)",2846,2846,,
"Hombres (034)",1446,1446,,
"Mujeres (035)",1400,1400,,
"De 15 a 29 años (036)",3257,3256,,1
"Hombres (037)",1535,1535,,
"Mujeres (038)",1722,1721,,1
"De 30 a 44 años (039)",2580,2576,3,1
"Hombres (040)",1234,1233,1,
"Mujeres (041)",1346,1343,2,1
"De 45 a 64 años (042)",1738,1734,3,1
"Hombres (043)",842,842,,
"Mujeres (044)",896,892,3,1
"De 65 a más años (045)",1022,982,38,2
"Hombres (046)",465,461,4,
"Mujeres (047)",557,521,34,2
,,,,
"RURAL (048)",7334,7265,50,19
"Hombres (049)",4378,4357,12,9
"Mujeres (050)",2956,2908,38,10
"Menores de 1 año (051)",100,88,6,6
"Hombres (052)",57,52,3,2
"Mujeres (053)",43,36,3,4
"De 1 a 5 años (054)",670,649,11,10
"Hombres (055)",323,314,4,5
"Mujeres (056)",347,335,7,5
"De 6 a 14 años (057)",1252,1249,2,1
"Hombres (058)",649,647,1,1
"Mujeres (059)",603,602,1,
"De 15 a 29 años (060)",1875,1873,2,
"Hombres (061)",1205,1205,,
"Mujeres (062)",670,668,2,
"De 30 a 44 años (063)",1715,1712,3,
"Hombres (064)",1170,1170,,
"Mujeres (065)",545,542,3,
"De 45 a 64 años (066)",1172,1166,6,
"Hombres (067)",711,710,1,
"Mujeres (068)",461,456,5,
"De 65 a más años (069)",550,528,20,2
"Hombres (070)",263,259,3,1
"Mujeres (071)",287,269,17,1
