"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CASMA (000)",37505,3338,532,13628,13529,1330,1919,1246,1983
"Hombres (001)",19169,964,286,7167,7559,667,876,632,1018
"Mujeres (002)",18336,2374,246,6461,5970,663,1043,614,965
"PEA (003)",16834,1141,14,4593,6826,784,1331,654,1491
"Hombres (004)",12074,664,8,3577,5258,517,721,449,880
"Mujeres (005)",4760,477,6,1016,1568,267,610,205,611
"Ocupada (006)",15974,1087,13,4369,6429,738,1282,614,1442
"Hombres (007)",11439,627,8,3397,4949,488,697,424,849
"Mujeres (008)",4535,460,5,972,1480,250,585,190,593
"Desocupada (009)",860,54,1,224,397,46,49,40,49
"Hombres (010)",635,37,,180,309,29,24,25,31
"Mujeres (011)",225,17,1,44,88,17,25,15,18
"No PEA (012)",20671,2197,518,9035,6703,546,588,592,492
"Hombres (013)",7095,300,278,3590,2301,150,155,183,138
"Mujeres (014)",13576,1897,240,5445,4402,396,433,409,354
,,,,,,,,,
"URBANA (018)",26141,1764,407,8368,9732,1151,1724,1139,1856
"Hombres (019)",13140,465,225,4256,5338,559,769,579,949
"Mujeres (020)",13001,1299,182,4112,4394,592,955,560,907
"PEA (021)",12177,634,11,2652,5013,684,1190,602,1391
"Hombres (022)",8059,278,6,1855,3646,436,618,405,815
"Mujeres (023)",4118,356,5,797,1367,248,572,197,576
"Ocupada (024)",11527,598,10,2511,4708,641,1146,564,1349
"Hombres (025)",7608,257,6,1748,3421,409,596,381,790
"Mujeres (026)",3919,341,4,763,1287,232,550,183,559
"Desocupada (027)",650,36,1,141,305,43,44,38,42
"Hombres (028)",451,21,,107,225,27,22,24,25
"Mujeres (029)",199,15,1,34,80,16,22,14,17
"No PEA (030)",13964,1130,396,5716,4719,467,534,537,465
"Hombres (031)",5081,187,219,2401,1692,123,151,174,134
"Mujeres (032)",8883,943,177,3315,3027,344,383,363,331
,,,,,,,,,
"RURAL (036)",11364,1574,125,5260,3797,179,195,107,127
"Hombres (037)",6029,499,61,2911,2221,108,107,53,69
"Mujeres (038)",5335,1075,64,2349,1576,71,88,54,58
"PEA (039)",4657,507,3,1941,1813,100,141,52,100
"Hombres (040)",4015,386,2,1722,1612,81,103,44,65
"Mujeres (041)",642,121,1,219,201,19,38,8,35
"Ocupada (042)",4447,489,3,1858,1721,97,136,50,93
"Hombres (043)",3831,370,2,1649,1528,79,101,43,59
"Mujeres (044)",616,119,1,209,193,18,35,7,34
"Desocupada (045)",210,18,,83,92,3,5,2,7
"Hombres (046)",184,16,,73,84,2,2,1,6
"Mujeres (047)",26,2,,10,8,1,3,1,1
"No PEA (048)",6707,1067,122,3319,1984,79,54,55,27
"Hombres (049)",2014,113,59,1189,609,27,4,9,4
"Mujeres (050)",4693,954,63,2130,1375,52,50,46,23
