"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ABANCAY (000)",90147,13017,2371,29842,26756,2820,3400,5942,5999
"Jefe o Jefa (001)",25940,3562,13,7159,7725,1000,1628,1817,3036
"Esposa(o)/ compa¤era(o) (002)",14961,2863,25,4826,4018,450,829,682,1268
"Hijo(a)/ hijastro(a) (003)",36947,4515,1938,14271,11133,921,588,2446,1135
"Yerno/ nuera (004)",910,16,1,120,388,76,93,85,131
"Nieto(a) (005)",2603,616,254,1093,484,27,18,97,14
"Padres/ suegros (006)",1193,766,,312,79,2,13,6,15
"Otro(a) pariente (007)",6016,555,126,1716,2277,246,179,648,269
"Trabajador(a) del hogar (008)",279,17,1,66,168,15,2,8,2
"Pensionista (009)",35,2,,5,9,2,1,11,5
"Otro(a) no pariente (010)",1263,105,13,274,475,81,49,142,124
"Hombres (012)",44553,4601,1178,14913,14315,1432,1690,3188,3236
"Jefe o Jefa (013)",17734,1454,6,5252,5680,671,1155,1254,2262
"Esposa(o)/ compa¤era(o) (014)",1335,105,2,381,480,51,73,123,120
"Hijo(a)/ hijastro(a) (015)",19422,2317,977,7442,6144,481,276,1259,526
"Yerno/ nuera (016)",441,3,,45,171,38,52,49,83
"Nieto(a) (017)",1346,307,134,544,277,12,10,54,8
"Padres/ suegros (018)",347,131,,156,37,1,5,4,13
"Otro(a) pariente (019)",3162,228,50,917,1237,133,93,353,151
"Trabajador(a) del hogar (020)",39,6,,7,25,1,,,
"Pensionista (021)",16,,,2,1,1,1,8,3
"Otro(a) no pariente (022)",711,50,9,167,263,43,25,84,70
"Mujeres (024)",45594,8416,1193,14929,12441,1388,1710,2754,2763
"Jefe o Jefa (025)",8206,2108,7,1907,2045,329,473,563,774
"Esposa(o)/ compa¤era(o) (026)",13626,2758,23,4445,3538,399,756,559,1148
"Hijo(a)/ hijastro(a) (027)",17525,2198,961,6829,4989,440,312,1187,609
"Yerno/ nuera (028)",469,13,1,75,217,38,41,36,48
"Nieto(a) (029)",1257,309,120,549,207,15,8,43,6
"Padres/ suegros (030)",846,635,,156,42,1,8,2,2
"Otro(a) pariente (031)",2854,327,76,799,1040,113,86,295,118
"Trabajador(a) del hogar (032)",240,11,1,59,143,14,2,8,2
"Pensionista (033)",19,2,,3,8,1,,3,2
"Otro(a) no pariente (034)",552,55,4,107,212,38,24,58,54
,,,,,,,,,
"URBANA (036)",57241,5373,1533,15080,18282,2474,3151,5620,5728
"Jefe o Jefa (037)",16408,1013,8,2965,5343,911,1514,1738,2916
"Esposa(o)/ compa¤era(o) (038)",8599,695,6,1987,2814,410,798,660,1229
"Hijo(a)/ hijastro(a) (039)",22699,2402,1239,7587,6908,742,512,2255,1054
"Yerno/ nuera (040)",603,4,,32,213,65,85,80,124
"Nieto(a) (041)",1719,389,165,685,340,24,15,89,12
"Padres/ suegros (042)",837,460,,267,74,2,13,6,15
"Otro(a) pariente (043)",5030,339,103,1296,2005,223,172,634,258
"Trabajador(a) del hogar (044)",251,8,1,60,155,15,2,8,2
