"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUANUCO (000)",253902,11622,64389,55693,39539,31213,22409,14184,14853
"Quechua (001)",60281,2218,13076,9978,8681,8066,6795,5276,6191
"Aymara (002)",177,8,36,22,19,38,22,18,14
"Ashaninca (003)",73,1,21,18,14,9,4,4,2
"Otra lengua nativa (004)",62,,14,11,15,1,8,7,6
"Castellano (005)",192886,9384,51141,45579,30757,23048,15529,8849,8599
"Idioma extranjero (006)",54,,4,5,11,4,12,12,6
"Es sordomudo/a (007)",369,11,97,80,42,47,39,18,35
"Hombres (009)",124713,5987,32855,27543,19097,14701,10664,6874,6992
"Quechua (010)",28760,1144,6750,4866,4054,3651,3107,2422,2766
"Aymara (011)",92,2,16,11,10,24,14,8,7
"Ashaninca (012)",35,,10,8,6,6,2,2,1
"Otra lengua nativa (013)",28,,7,5,6,1,4,4,1
"Castellano (014)",95591,4836,26015,22609,14999,10999,7506,4429,4198
"Idioma extranjero (015)",34,,1,5,7,2,9,6,4
"Es sordomudo/a (016)",173,5,56,39,15,18,22,3,15
"Mujeres (018)",129189,5635,31534,28150,20442,16512,11745,7310,7861
"Quechua (019)",31521,1074,6326,5112,4627,4415,3688,2854,3425
"Aymara (020)",85,6,20,11,9,14,8,10,7
"Ashaninca (021)",38,1,11,10,8,3,2,2,1
"Otra lengua nativa (022)",34,,7,6,9,,4,3,5
"Castellano (023)",97295,4548,25126,22970,15758,12049,8023,4420,4401
"Idioma extranjero (024)",20,,3,,4,2,3,6,2
"Es sordomudo/a (025)",196,6,41,41,27,29,17,15,20
,,,,,,,,,
"URBANA (027)",154245,6222,34685,36070,24964,20129,14463,8751,8961
"Quechua (028)",15762,205,1667,2022,2034,2676,2564,2038,2556
"Aymara (029)",102,3,12,13,11,24,17,13,9
"Ashaninca (030)",50,1,13,13,12,5,3,2,1
"Otra lengua nativa (031)",51,,11,8,12,1,7,7,5
"Castellano (032)",138077,6007,32932,33976,22868,17402,11845,6675,6372
"Idioma extranjero (033)",52,,4,5,11,4,12,10,6
"Es sordomudo/a (034)",151,6,46,33,16,17,15,6,12
"Hombres (036)",74069,3215,17500,17433,11800,9210,6686,4126,4099
"Quechua (037)",6999,108,846,974,901,1133,1118,877,1042
"Aymara (038)",56,2,2,7,6,18,12,5,4
"Ashaninca (039)",24,,7,7,5,3,1,1,
"Otra lengua nativa (040)",24,,6,4,5,1,4,4,
"Castellano (041)",66856,3101,16610,16420,10869,8046,5533,3233,3044
"Idioma extranjero (042)",33,,1,5,7,2,9,5,4
"Es sordomudo/a (043)",77,4,28,16,7,7,9,1,5
"Mujeres (045)",80176,3007,17185,18637,13164,10919,7777,4625,4862
"Quechua (046)",8763,97,821,1048,1133,1543,1446,1161,1514
"Aymara (047)",46,1,10,6,5,6,5,8,5
"Ashaninca (048)",26,1,6,6,7,2,2,1,1
"Otra lengua nativa (049)",27,,5,4,7,,3,3,5
"Castellano (050)",71221,2906,16322,17556,11999,9356,6312,3442,3328
"Idioma extranjero (051)",19,,3,,4,2,3,5,2
"Es sordomudo/a (052)",74,2,18,17,9,10,6,5,7
,,,,,,,,,
"RURAL (054)",99657,5400,29704,19623,14575,11084,7946,5433,5892
"Quechua (055)",44519,2013,11409,7956,6647,5390,4231,3238,3635
"Aymara (056)",75,5,24,9,8,14,5,5,5
"Ashaninca (057)",23,,8,5,2,4,1,2,1
"Otra lengua nativa (058)",11,,3,3,3,,1,,1
"Castellano (059)",54809,3377,18209,11603,7889,5646,3684,2174,2227
"Idioma extranjero (060)",2,,,,,,,2,
"Es sordomudo/a (061)",218,5,51,47,26,30,24,12,23
"Hombres (063)",50644,2772,15355,10110,7297,5491,3978,2748,2893
"Quechua (064)",21761,1036,5904,3892,3153,2518,1989,1545,1724
"Aymara (065)",36,,14,4,4,6,2,3,3
"Ashaninca (066)",11,,3,1,1,3,1,1,1
"Otra lengua nativa (067)",4,,1,1,1,,,,1
"Castellano (068)",28735,1735,9405,6189,4130,2953,1973,1196,1154
"Idioma extranjero (069)",1,,,,,,,1,
"Es sordomudo/a (070)",96,1,28,23,8,11,13,2,10
"Mujeres (072)",49013,2628,14349,9513,7278,5593,3968,2685,2999
"Quechua (073)",22758,977,5505,4064,3494,2872,2242,1693,1911
"Aymara (074)",39,5,10,5,4,8,3,2,2
"Ashaninca (075)",12,,5,4,1,1,,1,
"Otra lengua nativa (076)",7,,2,2,2,,1,,
"Castellano (077)",26074,1642,8804,5414,3759,2693,1711,978,1073
"Idioma extranjero (078)",1,,,,,,,1,
"Es sordomudo/a (079)",122,4,23,24,18,19,11,10,13
