"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia NAZCA (000)",54527,1940,5132,6348,5679,9504,9002,13248,3674
"Sabe leer y escribir (001)",49903,,4221,6293,5642,9424,8890,12560,2873
"No sabe leer y escribir (002)",4624,1940,911,55,37,80,112,688,801
"Hombres (004)",27941,981,2693,3269,2903,4821,4562,6789,1923
"Sabe leer y escribir (005)",26033,,2228,3236,2893,4789,4528,6647,1712
"No sabe leer y escribir (006)",1908,981,465,33,10,32,34,142,211
"Mujeres (008)",26586,959,2439,3079,2776,4683,4440,6459,1751
"Sabe leer y escribir (009)",23870,,1993,3057,2749,4635,4362,5913,1161
"No sabe leer y escribir (010)",2716,959,446,22,27,48,78,546,590
,,,,,,,,,
"URBANA (012)",47861,1700,4590,5622,4985,8351,8024,11566,3023
"Sabe leer y escribir (013)",44155,,3762,5574,4958,8291,7945,11144,2481
"No sabe leer y escribir (014)",3706,1700,828,48,27,60,79,422,542
"Hombres (016)",24296,869,2402,2869,2513,4191,4022,5874,1556
"Sabe leer y escribir (017)",22726,,1975,2839,2504,4171,4001,5803,1433
"No sabe leer y escribir (018)",1570,869,427,30,9,20,21,71,123
"Mujeres (020)",23565,831,2188,2753,2472,4160,4002,5692,1467
"Sabe leer y escribir (021)",21429,,1787,2735,2454,4120,3944,5341,1048
"No sabe leer y escribir (022)",2136,831,401,18,18,40,58,351,419
,,,,,,,,,
"RURAL (024)",6666,240,542,726,694,1153,978,1682,651
"Sabe leer y escribir (025)",5748,,459,719,684,1133,945,1416,392
"No sabe leer y escribir (026)",918,240,83,7,10,20,33,266,259
"Hombres (028)",3645,112,291,400,390,630,540,915,367
"Sabe leer y escribir (029)",3307,,253,397,389,618,527,844,279
"No sabe leer y escribir (030)",338,112,38,3,1,12,13,71,88
"Mujeres (032)",3021,128,251,326,304,523,438,767,284
"Sabe leer y escribir (033)",2441,,206,322,295,515,418,572,113
"No sabe leer y escribir (034)",580,128,45,4,9,8,20,195,171
