"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia TRUJILLO (000)",345557,301061,44496
"De 3 a 5 años (001)",42707,5225,37482
"De 6 a 11 años (002)",85798,80794,5004
"De 12 a 16 años (003)",82168,81445,723
"De 17 a 24 años (004)",134884,133597,1287
"Hombres (005)",172299,149693,22606
"De 3 a 5 años (006)",21734,2650,19084
"De 6 a 11 años (007)",43546,40955,2591
"De 12 a 16 años (008)",41123,40759,364
"De 17 a 24 años (009)",65896,65329,567
"Mujeres (010)",173258,151368,21890
"De 3 a 5 años (011)",20973,2575,18398
"De 6 a 11 años (012)",42252,39839,2413
"De 12 a 16 años (013)",41045,40686,359
"De 17 a 24 años (014)",68988,68268,720
,,,
"URBANA (015)",336607,293580,43027
"De 3 a 5 años (016)",41496,5130,36366
"De 6 a 11 años (017)",83351,78564,4787
"De 12 a 16 años (018)",79904,79230,674
"De 17 a 24 años (019)",131856,130656,1200
"Hombres (020)",167661,145783,21878
"De 3 a 5 años (021)",21137,2604,18533
"De 6 a 11 años (022)",42314,39837,2477
"De 12 a 16 años (023)",39924,39588,336
"De 17 a 24 años (024)",64286,63754,532
"Mujeres (025)",168946,147797,21149
"De 3 a 5 años (026)",20359,2526,17833
"De 6 a 11 años (027)",41037,38727,2310
"De 12 a 16 años (028)",39980,39642,338
"De 17 a 24 años (029)",67570,66902,668
,,,
"RURAL (030)",8950,7481,1469
"De 3 a 5 años (031)",1211,95,1116
"De 6 a 11 años (032)",2447,2230,217
"De 12 a 16 años (033)",2264,2215,49
"De 17 a 24 años (034)",3028,2941,87
"Hombres (035)",4638,3910,728
"De 3 a 5 años (036)",597,46,551
"De 6 a 11 años (037)",1232,1118,114
"De 12 a 16 años (038)",1199,1171,28
"De 17 a 24 años (039)",1610,1575,35
"Mujeres (040)",4312,3571,741
"De 3 a 5 años (041)",614,49,565
"De 6 a 11 años (042)",1215,1112,103
"De 12 a 16 años (043)",1065,1044,21
"De 17 a 24 años (044)",1418,1366,52
