"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ASCOPE (000)",110097,11157,2856,33654,37806,6005,9316,3596,5707
"Quechua (001)",70,14,1,22,19,4,4,1,5
"Aymara (002)",16,1,1,5,5,1,2,,1
"Ashaninca (003)",16,1,2,5,6,1,1,,
"Otra lengua nativa (004)",87,5,2,39,30,4,3,1,3
"Castellano (005)",109757,11040,2843,33560,37736,5994,9301,3590,5693
"Idioma extranjero (006)",9,2,,1,3,,,1,2
"Es sordomudo/a (007)",142,94,7,22,7,1,5,3,3
"Hombres (009)",55180,4320,1468,16735,20252,2991,4365,1998,3051
"Quechua (010)",33,5,1,14,8,3,1,,1
"Aymara (011)",7,1,,3,3,,,,
"Ashaninca (012)",13,1,1,5,4,1,1,,
"Otra lengua nativa (013)",50,4,,19,21,2,1,1,2
"Castellano (014)",54989,4252,1464,16681,20210,2984,4358,1995,3045
"Idioma extranjero (015)",7,1,,1,3,,,1,1
"Es sordomudo/a (016)",81,56,2,12,3,1,4,1,2
"Mujeres (018)",54917,6837,1388,16919,17554,3014,4951,1598,2656
"Quechua (019)",37,9,,8,11,1,3,1,4
"Aymara (020)",9,,1,2,2,1,2,,1
"Ashaninca (021)",3,,1,,2,,,,
"Otra lengua nativa (022)",37,1,2,20,9,2,2,,1
"Castellano (023)",54768,6788,1379,16879,17526,3010,4943,1595,2648
"Idioma extranjero (024)",2,1,,,,,,,1
"Es sordomudo/a (025)",61,38,5,10,4,,1,2,1
,,,,,,,,,
"URBANA (027)",96859,9195,2532,28629,33676,5393,8531,3406,5497
"Quechua (028)",65,14,,20,17,4,4,1,5
"Aymara (029)",15,1,1,4,5,1,2,,1
"Ashaninca (030)",16,1,2,5,6,1,1,,
"Otra lengua nativa (031)",84,5,2,38,29,3,3,1,3
"Castellano (032)",96548,9094,2520,28540,33612,5383,8516,3400,5483
"Idioma extranjero (033)",9,2,,1,3,,,1,2
"Es sordomudo/a (034)",122,78,7,21,4,1,5,3,3
"Hombres (036)",48264,3511,1293,14076,17911,2682,3987,1881,2923
"Quechua (037)",31,5,,14,7,3,1,,1
"Aymara (038)",6,1,,2,3,,,,
"Ashaninca (039)",13,1,1,5,4,1,1,,
"Otra lengua nativa (040)",48,4,,18,20,2,1,1,2
"Castellano (041)",48092,3455,1290,14025,17872,2675,3980,1878,2917
"Idioma extranjero (042)",7,1,,1,3,,,1,1
"Es sordomudo/a (043)",67,44,2,11,2,1,4,1,2
"Mujeres (045)",48595,5684,1239,14553,15765,2711,4544,1525,2574
"Quechua (046)",34,9,,6,10,1,3,1,4
"Aymara (047)",9,,1,2,2,1,2,,1
"Ashaninca (048)",3,,1,,2,,,,
"Otra lengua nativa (049)",36,1,2,20,9,1,2,,1
"Castellano (050)",48456,5639,1230,14515,15740,2708,4536,1522,2566
"Idioma extranjero (051)",2,1,,,,,,,1
"Es sordomudo/a (052)",55,34,5,10,2,,1,2,1
,,,,,,,,,
"RURAL (054)",13238,1962,324,5025,4130,612,785,190,210
"Quechua (055)",5,,1,2,2,,,,
"Aymara (056)",1,,,1,,,,,
"Otra lengua nativa (058)",3,,,1,1,1,,,
"Castellano (059)",13209,1946,323,5020,4124,611,785,190,210
"Es sordomudo/a (061)",20,16,,1,3,,,,
"Hombres (063)",6916,809,175,2659,2341,309,378,117,128
"Quechua (064)",2,,1,,1,,,,
"Aymara (065)",1,,,1,,,,,
"Otra lengua nativa (067)",2,,,1,1,,,,
"Castellano (068)",6897,797,174,2656,2338,309,378,117,128
"Es sordomudo/a (070)",14,12,,1,1,,,,
"Mujeres (072)",6322,1153,149,2366,1789,303,407,73,82
"Quechua (073)",3,,,2,1,,,,
"Otra lengua nativa (076)",1,,,,,1,,,
"Castellano (077)",6312,1149,149,2364,1786,302,407,73,82
"Es sordomudo/a (079)",6,4,,,2,,,,
