"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",49116,3463,13883,11375,7444,5483,3624,2131,1713
"Quechua (001)",497,3,22,45,77,94,115,65,76
"Aymara (002)",30,1,6,4,3,4,5,3,4
"Ashaninca (003)",13,2,1,4,1,3,1,1,
"Otra lengua nativa (004)",4411,234,1213,1062,625,531,386,223,137
"Castellano (005)",44083,3220,12625,10240,6718,4843,3112,1836,1489
"Idioma extranjero (006)",38,2,4,7,9,3,5,3,5
"Es sordomudo/a (007)",44,1,12,13,11,5,,,2
"Hombres (009)",26427,1759,7133,6133,4016,3057,2087,1248,994
"Quechua (010)",276,2,17,28,38,58,66,32,35
"Aymara (011)",14,,1,3,2,1,2,2,3
"Ashaninca (012)",3,,,2,,1,,,
"Otra lengua nativa (013)",2291,123,599,563,318,271,202,135,80
"Castellano (014)",23811,1632,6510,5529,3647,2723,1817,1078,875
"Idioma extranjero (015)",10,2,2,1,2,2,,1,
"Es sordomudo/a (016)",22,,4,7,9,1,,,1
"Mujeres (018)",22689,1704,6750,5242,3428,2426,1537,883,719
"Quechua (019)",221,1,5,17,39,36,49,33,41
"Aymara (020)",16,1,5,1,1,3,3,1,1
"Ashaninca (021)",10,2,1,2,1,2,1,1,
"Otra lengua nativa (022)",2120,111,614,499,307,260,184,88,57
"Castellano (023)",20272,1588,6115,4711,3071,2120,1295,758,614
"Idioma extranjero (024)",28,,2,6,7,1,5,2,5
"Es sordomudo/a (025)",22,1,8,6,2,4,,,1
,,,,,,,,,
"URBANA (027)",15024,970,3963,3592,2467,1841,1122,603,466
"Quechua (028)",105,1,5,10,20,24,21,7,17
"Aymara (029)",10,1,,3,3,1,1,,1
"Ashaninca (030)",2,,,1,,1,,,
"Otra lengua nativa (031)",178,3,14,32,29,36,23,24,17
"Castellano (032)",14696,964,3937,3542,2405,1776,1074,570,428
"Idioma extranjero (033)",13,1,,,3,1,3,2,3
"Es sordomudo/a (034)",20,,7,4,7,2,,,
"Hombres (036)",7869,489,1978,1892,1251,991,653,350,265
"Quechua (037)",60,,2,7,9,16,14,3,9
"Aymara (038)",5,,,2,2,1,,,
"Ashaninca (039)",2,,,1,,1,,,
"Otra lengua nativa (040)",81,2,5,19,11,19,5,13,7
"Castellano (041)",7705,486,1967,1860,1222,954,634,333,249
"Idioma extranjero (042)",3,1,,,1,,,1,
"Es sordomudo/a (043)",13,,4,3,6,,,,
"Mujeres (045)",7155,481,1985,1700,1216,850,469,253,201
"Quechua (046)",45,1,3,3,11,8,7,4,8
"Aymara (047)",5,1,,1,1,,1,,1
"Otra lengua nativa (049)",97,1,9,13,18,17,18,11,10
"Castellano (050)",6991,478,1970,1682,1183,822,440,237,179
"Idioma extranjero (051)",10,,,,2,1,3,1,3
"Es sordomudo/a (052)",7,,3,1,1,2,,,
,,,,,,,,,
"RURAL (054)",34092,2493,9920,7783,4977,3642,2502,1528,1247
"Quechua (055)",392,2,17,35,57,70,94,58,59
"Aymara (056)",20,,6,1,,3,4,3,3
"Ashaninca (057)",11,2,1,3,1,2,1,1,
"Otra lengua nativa (058)",4233,231,1199,1030,596,495,363,199,120
"Castellano (059)",29387,2256,8688,6698,4313,3067,2038,1266,1061
"Idioma extranjero (060)",25,1,4,7,6,2,2,1,2
"Es sordomudo/a (061)",24,1,5,9,4,3,,,2
"Hombres (063)",18558,1270,5155,4241,2765,2066,1434,898,729
"Quechua (064)",216,2,15,21,29,42,52,29,26
"Aymara (065)",9,,1,1,,,2,2,3
"Ashaninca (066)",1,,,1,,,,,
"Otra lengua nativa (067)",2210,121,594,544,307,252,197,122,73
"Castellano (068)",16106,1146,4543,3669,2425,1769,1183,745,626
"Idioma extranjero (069)",7,1,2,1,1,2,,,
"Es sordomudo/a (070)",9,,,4,3,1,,,1
"Mujeres (072)",15534,1223,4765,3542,2212,1576,1068,630,518
"Quechua (073)",176,,2,14,28,28,42,29,33
"Aymara (074)",11,,5,,,3,2,1,
"Ashaninca (075)",10,2,1,2,1,2,1,1,
"Otra lengua nativa (076)",2023,110,605,486,289,243,166,77,47
"Castellano (077)",13281,1110,4145,3029,1888,1298,855,521,435
"Idioma extranjero (078)",18,,2,6,5,,2,1,2
"Es sordomudo/a (079)",15,1,5,5,1,2,,,1
