"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ILO (000)",26126,410,19,2685,9247,2625,4933,1878,4329
"Agric., ganadería, caza y silvicultura (001)",298,9,,89,107,18,31,19,25
"Pesca (002)",2156,13,1,206,1193,240,267,92,144
"Explotación de minas y canteras (003)",979,2,,75,296,64,226,84,232
"Industrias manufactureras (004)",1971,17,3,174,721,253,420,126,257
"Suministro de electricidad, gas y agua (005)",199,,,3,34,16,61,18,67
"Construcción (006)",2391,24,1,324,1090,221,371,136,224
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",5599,196,7,858,1926,560,1039,409,604
"Venta, mant.y rep. veh.autom.y motoc. (008)",841,4,1,44,234,99,260,64,135
"Comercio al por mayor (009)",294,1,1,20,78,46,70,33,45
"Comercio al por menor (010)",4464,191,5,794,1614,415,709,312,424
"Hoteles y restaurantes (011)",1666,56,3,289,676,195,197,123,127
"Trans., almac. y comunicaciones (012)",2652,19,,208,1252,312,444,171,246
"Intermediación financiera (013)",235,,,3,17,19,58,41,97
"Activid.inmobil., empres. y de alquiler (014)",1857,2,,55,442,223,392,200,543
"Admin.pub. y defensa; p. segur.soc.afil (015)",1337,7,1,46,275,113,397,129,369
"Enseñanza (016)",1420,,,3,80,89,461,86,701
"Servicios sociales y de salud (017)",618,8,,20,48,41,162,24,315
"Otras activ. serv.comun.soc y personales (018)",856,18,1,98,311,84,137,91,116
"Hogares privados con servicio doméstico (019)",648,21,1,112,374,58,44,19,19
"Actividad economica no especificada (021)",1244,18,1,122,405,119,226,110,243
"Hombres (022)",16445,111,9,1457,6420,1689,2997,1221,2541
"Agric., ganadería, caza y silvicultura (023)",195,4,,48,74,13,21,16,19
"Pesca (024)",2085,12,1,195,1169,237,258,86,127
"Explotación de minas y canteras (025)",935,2,,74,290,61,216,83,209
"Industrias manufactureras (026)",1545,6,,120,605,205,329,89,191
"Suministro de electricidad, gas y agua (027)",177,,,3,32,16,56,15,55
"Construcción (028)",2300,23,1,313,1068,213,342,130,210
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2443,26,4,262,850,255,512,209,325
"Venta, mant.y rep. veh.autom.y motoc. (030)",788,2,1,41,223,94,243,61,123
"Comercio al por mayor (031)",149,1,1,7,43,23,26,18,30
"Comercio al por menor (032)",1506,23,2,214,584,138,243,130,172
"Hoteles y restaurantes (033)",389,4,1,46,165,51,43,41,38
"Trans., almac. y comunicaciones (034)",2336,18,,195,1167,256,350,146,204
"Intermediación financiera (035)",105,,,2,7,8,19,20,49
"Activid.inmobil., empres. y de alquiler (036)",1323,1,,44,365,163,264,139,347
"Admin.pub. y defensa; p. segur.soc.afil (037)",919,5,,31,199,78,263,89,254
"Enseñanza (038)",421,,,3,33,21,127,27,210
"Servicios sociales y de salud (039)",157,,,2,8,8,30,6,103
"Otras activ. serv.comun.soc y personales (040)",404,4,1,49,140,38,53,60,59
"Hogares privados con servicio doméstico (041)",34,2,,3,18,4,3,2,2
"Actividad economica no especificada (043)",677,4,1,67,230,62,111,63,139
