"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PIURA (000)",226138,12878,174,52343,73009,16153,30500,12401,28680
"Empleado (001)",67601,580,26,3624,14932,5968,16254,6276,19941
"Obrero (002)",45052,4073,34,16048,17640,2265,2810,1065,1117
"Trabajador independiente (003)",88942,6322,56,23979,31842,6508,9706,4152,6377
"Empleador o patrono (004)",4657,262,2,1114,1282,295,596,352,754
"Trabajador familiar no remunerado (005)",12086,1178,43,4652,4266,568,669,373,337
"Trabajador del hogar (006)",7800,463,13,2926,3047,549,465,183,154
"Hombres (008)",153613,8528,118,38300,54880,10411,16641,8123,16612
"Empleado (009)",37611,278,14,2209,10169,3399,7413,3672,10457
"Obrero (010)",39734,3385,30,14050,15973,1929,2453,920,994
"Trabajador independiente (011)",64947,4084,41,17874,24672,4571,6167,3086,4452
"Empleador o patrono (012)",3467,196,1,907,1006,202,340,255,560
"Trabajador familiar no remunerado (013)",7613,566,31,3205,2948,294,248,179,142
"Trabajador del hogar (014)",241,19,1,55,112,16,20,11,7
"Mujeres (016)",72525,4350,56,14043,18129,5742,13859,4278,12068
"Empleado (017)",29990,302,12,1415,4763,2569,8841,2604,9484
"Obrero (018)",5318,688,4,1998,1667,336,357,145,123
"Trabajador independiente (019)",23995,2238,15,6105,7170,1937,3539,1066,1925
"Empleador o patrono (020)",1190,66,1,207,276,93,256,97,194
"Trabajador familiar no remunerado (021)",4473,612,12,1447,1318,274,421,194,195
"Trabajador del hogar (022)",7559,444,12,2871,2935,533,445,172,147
,,,,,,,,,
"URBANA (024)",197951,8184,159,38907,65047,15506,29729,12205,28214
"Empleado (025)",66623,533,24,3472,14687,5877,16008,6242,19780
"Obrero (026)",31864,1871,28,9412,13912,2026,2606,998,1011
"Trabajador independiente (027)",78982,4381,52,19234,29249,6298,9472,4071,6225
"Empleador o patrono (028)",4022,170,2,780,1118,287,580,346,739
"Trabajador familiar no remunerado (029)",8990,793,42,3255,3145,475,606,365,309
"Trabajador del hogar (030)",7470,436,11,2754,2936,543,457,183,150
"Hombres (032)",128304,4423,105,26109,47534,9871,16065,7952,16245
"Empleado (033)",37010,245,12,2097,9986,3356,7298,3650,10366
"Obrero (034)",27137,1336,24,7711,12357,1702,2262,856,889
"Trabajador independiente (035)",55995,2395,37,13595,22287,4388,5964,3013,4316
"Empleador o patrono (036)",2866,113,1,587,850,195,325,249,546
"Trabajador familiar no remunerado (037)",5067,316,30,2071,1946,214,196,173,121
"Trabajador del hogar (038)",229,18,1,48,108,16,20,11,7
"Mujeres (040)",69647,3761,54,12798,17513,5635,13664,4253,11969
"Empleado (041)",29613,288,12,1375,4701,2521,8710,2592,9414
"Obrero (042)",4727,535,4,1701,1555,324,344,142,122
"Trabajador independiente (043)",22987,1986,15,5639,6962,1910,3508,1058,1909
"Empleador o patrono (044)",1156,57,1,193,268,92,255,97,193
"Trabajador familiar no remunerado (045)",3923,477,12,1184,1199,261,410,192,188
"Trabajador del hogar (046)",7241,418,10,2706,2828,527,437,172,143
,,,,,,,,,
"RURAL (048)",28187,4694,15,13436,7962,647,771,196,466
"Empleado (049)",978,47,2,152,245,91,246,34,161
"Obrero (050)",13188,2202,6,6636,3728,239,204,67,106
"Trabajador independiente (051)",9960,1941,4,4745,2593,210,234,81,152
"Empleador o patrono (052)",635,92,,334,164,8,16,6,15
"Trabajador familiar no remunerado (053)",3096,385,1,1397,1121,93,63,8,28
"Trabajador del hogar (054)",330,27,2,172,111,6,8,,4
"Hombres (056)",25309,4105,13,12191,7346,540,576,171,367
"Empleado (057)",601,33,2,112,183,43,115,22,91
"Obrero (058)",12597,2049,6,6339,3616,227,191,64,105
"Trabajador independiente (059)",8952,1689,4,4279,2385,183,203,73,136
"Empleador o patrono (060)",601,83,,320,156,7,15,6,14
"Trabajador familiar no remunerado (061)",2546,250,1,1134,1002,80,52,6,21
"Trabajador del hogar (062)",12,1,,7,4,,,,
"Mujeres (064)",2878,589,2,1245,616,107,195,25,99
"Empleado (065)",377,14,,40,62,48,131,12,70
"Obrero (066)",591,153,,297,112,12,13,3,1
"Trabajador independiente (067)",1008,252,,466,208,27,31,8,16
"Empleador o patrono (068)",34,9,,14,8,1,1,,1
"Trabajador familiar no remunerado (069)",550,135,,263,119,13,11,2,7
"Trabajador del hogar (070)",318,26,2,165,107,6,8,,4
