"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia AZANGARO (000)",39030,4861,17,16542,12431,1020,2206,505,1448
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",86,1,,21,23,4,16,2,19
"Profes., científicos e intelectuales (002)",2248,,,,125,117,1027,109,870
"Técnicos de nivel medio ytrab.asimilados (003)",376,3,,19,44,55,165,29,61
"Jefes y empleados de oficina (004)",604,,,4,142,95,166,54,143
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",2327,108,,725,1077,113,199,45,60
"Agricult.trabaj. calif.agrop. y pesquros (006)",14021,2121,6,7381,4049,172,151,58,83
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",1832,59,,542,995,73,89,36,38
"Obreros. construc., conf., papel, fab., instr (008)",1539,22,,422,807,98,111,44,35
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",15230,2445,9,7177,4900,260,236,96,107
"Otra (010)",80,,,,22,7,17,19,15
"Ocupación no especificada (011)",687,102,2,251,247,26,29,13,17
"Hombres (012)",23145,1379,8,9179,8807,759,1555,387,1071
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",69,1,,14,21,3,13,2,15
"Profes., científicos e intelectuales (014)",1629,,,,69,83,757,81,639
"Técnicos de nivel medio ytrab.asimilados (015)",273,1,,14,37,44,108,26,43
"Jefes y empleados de oficina (016)",391,,,2,97,65,89,41,97
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",821,13,,211,426,43,80,21,27
"Agricult.trabaj. calif.agrop. y pesquros (018)",10074,849,4,5422,3391,151,127,52,78
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",1436,22,,378,838,63,69,32,34
"Obreros. construc., conf., papel, fab., instr (020)",1511,20,,416,791,97,110,42,35
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",6567,452,3,2629,2987,184,168,67,77
"Otra (022)",75,,,,21,7,15,17,15
"Ocupación no especificada (023)",299,21,1,93,129,19,19,6,11
"Mujeres (024)",15885,3482,9,7363,3624,261,651,118,377
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",17,,,7,2,1,3,,4
"Profes., científicos e intelectuales (026)",619,,,,56,34,270,28,231
"Técnicos de nivel medio ytrab.asimilados (027)",103,2,,5,7,11,57,3,18
"Jefes y empleados de oficina (028)",213,,,2,45,30,77,13,46
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",1506,95,,514,651,70,119,24,33
"Agricult.trabaj. calif.agrop. y pesquros (030)",3947,1272,2,1959,658,21,24,6,5
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",396,37,,164,157,10,20,4,4
"Obreros. construc., conf., papel, fab., instr (032)",28,2,,6,16,1,1,2,
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",8663,1993,6,4548,1913,76,68,29,30
"Otra (034)",5,,,,1,,2,2,
"Ocupación no especificada (035)",388,81,1,158,118,7,10,7,6
,,,,,,,,,
"URBANA (036)",9738,472,3,2340,3290,598,1614,342,1079
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",43,,,3,9,4,11,2,14
