"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia LAMPA (000)",21614,2861,6041,5546,7166
"Asiste actualmente (001)",14370,1053,5677,5033,2607
"No asiste (002)",7244,1808,364,513,4559
"Hombres (004)",10871,1416,3026,2851,3578
"Asiste actualmente (005)",7501,523,2856,2646,1476
"No asiste (006)",3370,893,170,205,2102
"Mujeres (008)",10743,1445,3015,2695,3588
"Asiste actualmente (009)",6869,530,2821,2387,1131
"No asiste (010)",3874,915,194,308,2457
,,,,,
"URBANA (012)",8769,1085,2327,2288,3069
"Asiste actualmente (013)",6150,407,2224,2159,1360
"No asiste (014)",2619,678,103,129,1709
"Hombres (016)",4367,544,1159,1155,1509
"Asiste actualmente (017)",3162,210,1109,1101,742
"No asiste (018)",1205,334,50,54,767
"Mujeres (020)",4402,541,1168,1133,1560
"Asiste actualmente (021)",2988,197,1115,1058,618
"No asiste (022)",1414,344,53,75,942
,,,,,
"RURAL (024)",12845,1776,3714,3258,4097
"Asiste actualmente (025)",8220,646,3453,2874,1247
"No asiste (026)",4625,1130,261,384,2850
"Hombres (028)",6504,872,1867,1696,2069
"Asiste actualmente (029)",4339,313,1747,1545,734
"No asiste (030)",2165,559,120,151,1335
"Mujeres (032)",6341,904,1847,1562,2028
"Asiste actualmente (033)",3881,333,1706,1329,513
"No asiste (034)",2460,571,141,233,1515
