"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",23211,3270,5627,4839,9475
"Asiste actualmente (001)",12280,793,5206,4262,2019
"No asiste (002)",10931,2477,421,577,7456
"Hombres (004)",11919,1701,2907,2399,4912
"Asiste actualmente (005)",6397,407,2694,2143,1153
"No asiste (006)",5522,1294,213,256,3759
"Mujeres (008)",11292,1569,2720,2440,4563
"Asiste actualmente (009)",5883,386,2512,2119,866
"No asiste (010)",5409,1183,208,321,3697
,,,,,
"URBANA (012)",15536,2206,3547,3114,6669
"Asiste actualmente (013)",8146,608,3312,2765,1461
"No asiste (014)",7390,1598,235,349,5208
"Hombres (016)",7933,1152,1819,1540,3422
"Asiste actualmente (017)",4208,318,1694,1373,823
"No asiste (018)",3725,834,125,167,2599
"Mujeres (020)",7603,1054,1728,1574,3247
"Asiste actualmente (021)",3938,290,1618,1392,638
"No asiste (022)",3665,764,110,182,2609
,,,,,
"RURAL (024)",7675,1064,2080,1725,2806
"Asiste actualmente (025)",4134,185,1894,1497,558
"No asiste (026)",3541,879,186,228,2248
"Hombres (028)",3986,549,1088,859,1490
"Asiste actualmente (029)",2189,89,1000,770,330
"No asiste (030)",1797,460,88,89,1160
"Mujeres (032)",3689,515,992,866,1316
"Asiste actualmente (033)",1945,96,894,727,228
"No asiste (034)",1744,419,98,139,1088
