"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PURUS (000)",3144,798,93,1161,824,99,123,29,17
"Jefe o Jefa (001)",758,107,,211,299,49,69,14,9
"Esposa(o)/ compa¤era(o) (002)",559,171,1,210,132,20,18,4,3
"Hijo(a)/ hijastro(a) (003)",1191,346,73,526,224,15,4,2,1
"Yerno/ nuera (004)",52,3,,14,31,2,,1,1
"Nieto(a) (005)",120,49,9,49,13,,,,
"Padres/ suegros (006)",57,42,,11,3,,1,,
"Otro(a) pariente (007)",344,75,8,130,109,8,9,3,2
"Pensionista (009)",3,,,,,,3,,
"Otro(a) no pariente (010)",60,5,2,10,13,5,19,5,1
"Hombres (012)",1660,318,50,559,549,69,82,21,12
"Jefe o Jefa (013)",648,81,,178,270,43,56,12,8
"Esposa(o)/ compa¤era(o) (014)",26,2,,6,12,2,3,1,
"Hijo(a)/ hijastro(a) (015)",626,169,40,265,138,10,1,2,1
"Yerno/ nuera (016)",34,1,,8,21,2,,1,1
"Nieto(a) (017)",69,29,6,22,12,,,,
"Padres/ suegros (018)",14,7,,4,2,,1,,
"Otro(a) pariente (019)",200,26,2,69,85,8,6,3,1
"Pensionista (021)",3,,,,,,3,,
"Otro(a) no pariente (022)",40,3,2,7,9,4,12,2,1
"Mujeres (024)",1484,480,43,602,275,30,41,8,5
"Jefe o Jefa (025)",110,26,,33,29,6,13,2,1
"Esposa(o)/ compa¤era(o) (026)",533,169,1,204,120,18,15,3,3
"Hijo(a)/ hijastro(a) (027)",565,177,33,261,86,5,3,,
"Yerno/ nuera (028)",18,2,,6,10,,,,
"Nieto(a) (029)",51,20,3,27,1,,,,
"Padres/ suegros (030)",43,35,,7,1,,,,
"Otro(a) pariente (031)",144,49,6,61,24,,3,,1
"Otro(a) no pariente (034)",20,2,,3,4,1,7,3,
,,,,,,,,,
"URBANA (036)",970,149,28,276,336,68,78,22,13
"Jefe o Jefa (037)",258,15,,44,110,30,43,10,6
"Esposa(o)/ compa¤era(o) (038)",147,13,1,39,60,15,14,2,3
"Hijo(a)/ hijastro(a) (039)",334,75,22,132,90,10,3,1,1
"Yerno/ nuera (040)",12,,,2,8,,,1,1
"Nieto(a) (041)",17,8,1,6,2,,,,
"Padres/ suegros (042)",14,5,,6,3,,,,
"Otro(a) pariente (043)",147,33,2,40,54,8,6,3,1
"Pensionista (045)",1,,,,,,1,,
"Otro(a) no pariente (046)",40,,2,7,9,5,11,5,1
"Hombres (048)",531,54,19,134,208,45,45,16,10
"Jefe o Jefa (049)",203,6,,31,94,25,32,9,6
"Esposa(o)/ compa¤era(o) (050)",10,,,3,4,1,2,,
"Hijo(a)/ hijastro(a) (051)",178,30,15,71,53,7,,1,1
"Yerno/ nuera (052)",9,,,2,5,,,1,1
"Nieto(a) (053)",9,4,1,2,2,,,,
"Padres/ suegros (054)",4,,,2,2,,,,
"Otro(a) pariente (055)",92,14,1,18,43,8,4,3,1
"Pensionista (057)",1,,,,,,1,,
