"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia BAGUA (000)",802,44,427,199,113,19
"Conviviente (001)",266,4,105,93,57,7
"Separado(a) (002)",33,,11,8,11,3
"Casado(a) (003)",114,,22,54,31,7
"Viudo(a) (004)",9,,,4,4,1
"Divorciado(a) (005)",2,,1,,1,
"Soltero(a) (006)",378,40,288,40,9,1
"Hombres (008)",593,28,299,153,95,18
"Conviviente (009)",220,2,86,79,46,7
"Separado(a) (010)",16,,3,2,9,2
"Casado(a) (011)",81,,10,36,28,7
"Viudo(a) (012)",5,,,2,2,1
"Divorciado(a) (013)",2,,1,,1,
"Soltero(a) (014)",269,26,199,34,9,1
"Mujeres (016)",209,16,128,46,18,1
"Conviviente (017)",46,2,19,14,11,
"Separado(a) (018)",17,,8,6,2,1
"Casado(a) (019)",33,,12,18,3,
"Viudo(a) (020)",4,,,2,2,
"Soltero(a) (022)",109,14,89,6,,
,,,,,,
"AREA URBANA (024)",518,8,266,145,84,15
"Conviviente (025)",172,,60,67,39,6
"Separado(a) (026)",25,,8,6,8,3
"Casado(a) (027)",82,,16,36,25,5
"Viudo(a) (028)",4,,,1,3,
"Divorciado(a) (029)",2,,1,,1,
"Soltero(a) (030)",233,8,181,35,8,1
"Hombres (032)",365,7,171,103,70,14
"Conviviente (033)",133,,43,54,30,6
"Separado(a) (034)",11,,2,,7,2
"Casado(a) (035)",51,,5,19,22,5
"Viudo(a) (036)",3,,,1,2,
"Divorciado(a) (037)",2,,1,,1,
"Soltero(a) (038)",165,7,120,29,8,1
"Mujeres (040)",153,1,95,42,14,1
"Conviviente (041)",39,,17,13,9,
"Separado(a) (042)",14,,6,6,1,1
"Casado(a) (043)",31,,11,17,3,
"Viudo(a) (044)",1,,,,1,
"Soltero(a) (046)",68,1,61,6,,
,,,,,,
"AREA RURAL (048)",284,36,161,54,29,4
"Conviviente (049)",94,4,45,26,18,1
"Separado(a) (050)",8,,3,2,3,
"Casado(a) (051)",32,,6,18,6,2
"Viudo(a) (052)",5,,,3,1,1
"Soltero(a) (054)",145,32,107,5,1,
"Hombres (056)",228,21,128,50,25,4
"Conviviente (057)",87,2,43,25,16,1
"Separado(a) (058)",5,,1,2,2,
"Casado(a) (059)",30,,5,17,6,2
"Viudo(a) (060)",2,,,1,,1
"Soltero(a) (062)",104,19,79,5,1,
"Mujeres (064)",56,15,33,4,4,
"Conviviente (065)",7,2,2,1,2,
"Separado(a) (066)",3,,2,,1,
"Casado(a) (067)",2,,1,1,,
"Viudo(a) (068)",3,,,2,1,
"Soltero(a) (070)",41,13,28,,,
