"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia UTCUBAMBA (000)",37215,1179,13732,12316,7945,2043
"Agric., ganadería, caza y silvicultura (001)",23131,777,8669,6956,5076,1653
"Pesca (002)",5,,3,1,1,
"Explotación de minas y canteras (003)",50,,9,11,30,
"Industrias manufactureras (004)",840,20,298,314,179,29
"Suministro de electricidad, gas y agua (005)",30,1,9,10,9,1
"Construcción (006)",847,9,272,319,221,26
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3171,144,958,1190,747,132
"Venta, mant.y rep. veh.autom.y motoc. (008)",337,10,148,105,65,9
"Comercio al por mayor (009)",194,1,66,72,51,4
"Comercio al por menor (010)",2640,133,744,1013,631,119
"Hoteles y restaurantes (011)",917,54,320,305,203,35
"Trans., almac. y comunicaciones (012)",1692,17,813,603,247,12
"Intermediación financiera (013)",38,,24,11,3,
"Activid.inmobil., empres. y alquileres (014)",393,,164,138,80,11
"Admin.pub. y defensa; p. segur.soc afil (015)",968,,298,458,203,9
"Enseñanza (016)",1707,,324,974,406,3
"Servicios sociales y de salud (017)",327,1,116,143,60,7
"Otras activ. serv.comun.soc y personales (018)",434,13,156,161,87,17
"Hogares privados con servicio doméstico (019)",529,32,303,126,53,15
"Actividad economica no especificada (021)",490,,177,183,94,36
"Desocupado (022)",1646,111,819,413,246,57
"Hombres (023)",30247,915,11106,9748,6642,1836
"Agric., ganadería, caza y silvicultura (024)",21263,660,7951,6407,4687,1558
"Pesca (025)",5,,3,1,1,
"Explotación de minas y canteras (026)",46,,7,9,30,
"Industrias manufactureras (027)",648,15,234,232,142,25
"Suministro de electricidad, gas y agua (028)",27,,9,8,9,1
"Construcción (029)",820,9,262,305,219,25
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",1813,113,537,631,439,93
"Venta, mant.y rep. veh.autom.y motoc. (031)",308,10,136,91,62,9
"Comercio al por mayor (032)",126,1,40,46,35,4
"Comercio al por menor (033)",1379,102,361,494,342,80
"Hoteles y restaurantes (034)",223,18,78,61,54,12
"Trans., almac. y comunicaciones (035)",1630,17,769,588,244,12
"Intermediación financiera (036)",22,,12,8,2,
"Activid.inmobil., empres. y alquileres (037)",297,,104,110,72,11
"Admin.pub. y defensa; p. segur.soc afil (038)",707,,200,356,143,8
"Enseñanza (039)",894,,143,486,262,3
"Servicios sociales y de salud (040)",142,,36,64,37,5
