"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia UTCUBAMBA (000)",35345,4721,9445,15600,1050,4006,523
"Conviviente (001)",13916,1549,3903,7212,470,666,116
"Separado(a) (002)",1271,217,325,572,33,60,64
"Casado(a) (003)",8470,1378,1646,4641,383,363,59
"Viudo(a) (004)",765,47,177,461,31,32,17
"Divorciado(a) (005)",138,27,34,60,6,6,5
"Soltero(a) (006)",10785,1503,3360,2654,127,2879,262
"Hombres (008)",28786,2818,8567,13362,951,3054,34
"Conviviente (009)",11693,957,3530,6444,429,323,10
"Separado(a) (010)",626,72,224,282,25,23,
"Casado(a) (011)",7047,945,1495,4096,364,143,4
"Viudo(a) (012)",427,18,121,252,21,15,
"Divorciado(a) (013)",78,13,27,32,3,3,
"Soltero(a) (014)",8915,813,3170,2256,109,2547,20
"Mujeres (016)",6559,1903,878,2238,99,952,489
"Conviviente (017)",2223,592,373,768,41,343,106
"Separado(a) (018)",645,145,101,290,8,37,64
"Casado(a) (019)",1423,433,151,545,19,220,55
"Viudo(a) (020)",338,29,56,209,10,17,17
"Divorciado(a) (021)",60,14,7,28,3,3,5
"Soltero(a) (022)",1870,690,190,398,18,332,242
,,,,,,,
"URBANA (024)",16346,4148,3327,6863,476,1078,454
"Conviviente (025)",6280,1348,1397,2946,195,287,107
"Separado(a) (026)",730,199,128,308,21,20,54
"Casado(a) (027)",4159,1211,636,1921,160,177,54
"Viudo(a) (028)",322,44,60,171,15,18,14
"Divorciado(a) (029)",79,25,11,32,3,4,4
"Soltero(a) (030)",4776,1321,1095,1485,82,572,221
"Hombres (032)",11851,2500,2961,5268,395,699,28
"Conviviente (033)",4719,846,1218,2361,160,126,8
"Separado(a) (034)",297,64,86,120,16,11,
"Casado(a) (035)",3112,842,572,1484,144,66,4
"Viudo(a) (036)",154,18,39,79,10,8,
"Divorciado(a) (037)",43,13,10,17,1,2,
"Soltero(a) (038)",3526,717,1036,1207,64,486,16
"Mujeres (040)",4495,1648,366,1595,81,379,426
"Conviviente (041)",1561,502,179,585,35,161,99
"Separado(a) (042)",433,135,42,188,5,9,54
"Casado(a) (043)",1047,369,64,437,16,111,50
"Viudo(a) (044)",168,26,21,92,5,10,14
"Divorciado(a) (045)",36,12,1,15,2,2,4
"Soltero(a) (046)",1250,604,59,278,18,86,205
,,,,,,,
"RURAL (048)",18999,573,6118,8737,574,2928,69
"Conviviente (049)",7636,201,2506,4266,275,379,9
"Separado(a) (050)",541,18,197,264,12,40,10
"Casado(a) (051)",4311,167,1010,2720,223,186,5
"Viudo(a) (052)",443,3,117,290,16,14,3
"Divorciado(a) (053)",59,2,23,28,3,2,1
"Soltero(a) (054)",6009,182,2265,1169,45,2307,41
"Hombres (056)",16935,318,5606,8094,556,2355,6
"Conviviente (057)",6974,111,2312,4083,269,197,2
"Separado(a) (058)",329,8,138,162,9,12,
"Casado(a) (059)",3935,103,923,2612,220,77,
"Viudo(a) (060)",273,,82,173,11,7,
"Divorciado(a) (061)",35,,17,15,2,1,
"Soltero(a) (062)",5389,96,2134,1049,45,2061,4
"Mujeres (064)",2064,255,512,643,18,573,63
"Conviviente (065)",662,90,194,183,6,182,7
"Separado(a) (066)",212,10,59,102,3,28,10
"Casado(a) (067)",376,64,87,108,3,109,5
"Viudo(a) (068)",170,3,35,117,5,7,3
"Divorciado(a) (069)",24,2,6,13,1,1,1
"Soltero(a) (070)",620,86,131,120,,246,37
