"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia BOLOGNESI (000)",11045,1938,3155,4311,117,1380,144
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",49,49,,,,,
"Profes., científicos e intelectuales (002)",801,731,,62,6,2,
"Técnicos de nivel medio y trab. asimilados (003)",290,198,,71,20,1,
"Jefes y empleados de oficina (004)",327,324,,,,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1013,163,32,665,34,119,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",2631,4,,2615,12,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",749,,519,205,16,9,
"Obreros construc.,conf.,papel, fab., instr. (008)",896,74,506,282,26,8,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",3603,231,1782,271,3,1172,144
"Otra (010)",42,42,,,,,
"Ocupación no especificada (011)",644,122,316,140,,66,
"Hombres (012)",7990,1238,2865,3084,90,703,10
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",36,36,,,,,
"Profes., científicos e intelectuales (014)",476,433,,35,6,2,
"Técnicos de nivel medio y trab. asimilados (015)",207,138,,52,17,,
"Jefes y empleados de oficina (016)",196,195,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",403,90,16,260,12,25,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",2166,4,,2151,11,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",692,,499,168,16,9,
"Obreros construc.,conf.,papel, fab., instr. (020)",888,74,505,275,26,8,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",2463,141,1560,107,2,643,10
"Otra (022)",42,42,,,,,
"Ocupación no especificada (023)",421,85,285,36,,15,
"Mujeres (024)",3055,700,290,1227,27,677,134
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",13,13,,,,,
"Profes., científicos e intelectuales (026)",325,298,,27,,,
"Técnicos de nivel medio y trab. asimilados (027)",83,60,,19,3,1,
"Jefes y empleados de oficina (028)",131,129,,,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",610,73,16,405,22,94,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",465,,,464,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",57,,20,37,,,
"Obreros construc.,conf.,papel, fab., instr. (032)",8,,1,7,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",1140,90,222,164,1,529,134
"Ocupación no especificada (035)",223,37,31,104,,51,
,,,,,,,
"URBANA (036)",6645,1444,1825,2635,79,539,123
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",39,39,,,,,
"Profes., científicos e intelectuales (038)",620,562,,50,6,2,
"Técnicos de nivel medio y trab. asimilados (039)",207,124,,65,17,1,
"Jefes y empleados de oficina (040)",265,262,,,,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",815,115,19,564,22,95,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",1223,3,,1209,11,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",428,,225,185,12,6,
"Obreros construc.,conf.,papel, fab., instr. (044)",664,64,362,225,9,4,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",2059,179,1120,248,2,387,123
"Otra (046)",34,34,,,,,
"Ocupación no especificada (047)",291,62,99,89,,41,
"Hombres (048)",4564,848,1624,1793,59,233,7
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",29,29,,,,,
"Profes., científicos e intelectuales (050)",348,309,,31,6,2,
"Técnicos de nivel medio y trab. asimilados (051)",137,76,,47,14,,
"Jefes y empleados de oficina (052)",151,150,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",313,56,6,226,7,18,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",1006,3,,993,10,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",379,,206,155,12,6,
"Obreros construc.,conf.,papel, fab., instr. (056)",658,64,361,220,9,4,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",1370,96,976,96,1,194,7
"Otra (058)",34,34,,,,,
"Ocupación no especificada (059)",139,31,75,25,,8,
"Mujeres (060)",2081,596,201,842,20,306,116
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",10,10,,,,,
"Profes., científicos e intelectuales (062)",272,253,,19,,,
"Técnicos de nivel medio y trab. asimilados (063)",70,48,,18,3,1,
"Jefes y empleados de oficina (064)",114,112,,,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",502,59,13,338,15,77,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",217,,,216,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",49,,19,30,,,
"Obreros construc.,conf.,papel, fab., instr. (068)",6,,1,5,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",689,83,144,152,1,193,116
"Ocupación no especificada (071)",152,31,24,64,,33,
,,,,,,,
"RURAL (072)",4400,494,1330,1676,38,841,21
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",10,10,,,,,
"Profes., científicos e intelectuales (074)",181,169,,12,,,
"Técnicos de nivel medio y trab. asimilados (075)",83,74,,6,3,,
"Jefes y empleados de oficina (076)",62,62,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",198,48,13,101,12,24,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",1408,1,,1406,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",321,,294,20,4,3,
"Obreros construc.,conf.,papel, fab., instr. (080)",232,10,144,57,17,4,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",1544,52,662,23,1,785,21
"Otra (082)",8,8,,,,,
"Ocupación no especificada (083)",353,60,217,51,,25,
"Hombres (084)",3426,390,1241,1291,31,470,3
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",7,7,,,,,
"Profes., científicos e intelectuales (086)",128,124,,4,,,
"Técnicos de nivel medio y trab. asimilados (087)",70,62,,5,3,,
"Jefes y empleados de oficina (088)",45,45,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",90,34,10,34,5,7,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",1160,1,,1158,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",313,,293,13,4,3,
"Obreros construc.,conf.,papel, fab., instr. (092)",230,10,144,55,17,4,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",1093,45,584,11,1,449,3
"Otra (094)",8,8,,,,,
"Ocupación no especificada (095)",282,54,210,11,,7,
"Mujeres (096)",974,104,89,385,7,371,18
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",3,3,,,,,
"Profes., científicos e intelectuales (098)",53,45,,8,,,
"Técnicos de nivel medio y trab. asimilados (099)",13,12,,1,,,
"Jefes y empleados de oficina (100)",17,17,,,,,
