"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia OCROS (000)",8119,1487,2044,1682,1755,1151
"Hombres (001)",4245,768,1110,880,940,547
"Mujeres (002)",3874,719,934,802,815,604
"PEA (003)",3639,48,1033,1105,1055,398
"Hombres (004)",2699,33,772,779,799,316
"Mujeres (005)",940,15,261,326,256,82
"Ocupada (006)",3528,46,981,1073,1036,392
"Hombres (007)",2606,31,731,752,782,310
"Mujeres (008)",922,15,250,321,254,82
"Desocupada (009)",111,2,52,32,19,6
"Hombres (010)",93,2,41,27,17,6
"Mujeres (011)",18,,11,5,2,
"No PEA (012)",4480,1439,1011,577,700,753
"Hombres (013)",1546,735,338,101,141,231
"Mujeres (014)",2934,704,673,476,559,522
,,,,,,
"URBANA (018)",4722,808,1139,989,1046,740
"Hombres (019)",2449,430,618,503,564,334
"Mujeres (020)",2273,378,521,486,482,406
"PEA (021)",2191,26,591,682,655,237
"Hombres (022)",1558,19,420,457,483,179
"Mujeres (023)",633,7,171,225,172,58
"Ocupada (024)",2130,25,555,666,648,236
"Hombres (025)",1508,18,391,444,477,178
"Mujeres (026)",622,7,164,222,171,58
"Desocupada (027)",61,1,36,16,7,1
"Hombres (028)",50,1,29,13,6,1
"Mujeres (029)",11,,7,3,1,
"No PEA (030)",2531,782,548,307,391,503
"Hombres (031)",891,411,198,46,81,155
"Mujeres (032)",1640,371,350,261,310,348
,,,,,,
"RURAL (036)",3397,679,905,693,709,411
"Hombres (037)",1796,338,492,377,376,213
"Mujeres (038)",1601,341,413,316,333,198
"PEA (039)",1448,22,442,423,400,161
"Hombres (040)",1141,14,352,322,316,137
"Mujeres (041)",307,8,90,101,84,24
"Ocupada (042)",1398,21,426,407,388,156
"Hombres (043)",1098,13,340,308,305,132
"Mujeres (044)",300,8,86,99,83,24
"Desocupada (045)",50,1,16,16,12,5
"Hombres (046)",43,1,12,14,11,5
"Mujeres (047)",7,,4,2,1,
"No PEA (048)",1949,657,463,270,309,250
"Hombres (049)",655,324,140,55,60,76
"Mujeres (050)",1294,333,323,215,249,174
