"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CHINCHEROS (000)",448,199,249
"Sin nivel (001)",26,9,17
"Primaria (003)",157,60,97
"Secundaria (004)",213,106,107
"Superior no univ. incompleta (005)",12,5,7
"Superior no univ. completa (006)",26,13,13
"Superior univ. incompleta (007)",5,2,3
"Superior univ. completa (008)",9,4,5
"De 14 a 29 años (010)",236,133,103
"Sin nivel (011)",5,2,3
"Primaria (013)",52,32,20
"Secundaria (014)",148,83,65
"Superior no univ. incompleta (015)",8,4,4
"Superior no univ. completa (016)",17,9,8
"Superior univ. incompleta (017)",3,2,1
"Superior univ. completa (018)",3,1,2
"De 30 a 44 años (020)",139,57,82
"Sin nivel (021)",6,5,1
"Primaria (023)",61,23,38
"Secundaria (024)",54,21,33
"Superior no univ. incompleta (025)",4,1,3
"Superior no univ. completa (026)",8,4,4
"Superior univ. incompleta (027)",1,,1
"Superior univ. completa (028)",5,3,2
"De 45 a 64 años (030)",57,9,48
"Sin nivel (031)",10,2,8
"Primaria (033)",35,5,30
"Secundaria (034)",9,2,7
"Superior no univ. completa (036)",1,,1
"Superior univ. incompleta (037)",1,,1
"Superior univ. completa (038)",1,,1
"De 65 y más años (040)",16,,16
"Sin nivel (041)",5,,5
"Primaria (043)",9,,9
"Secundaria (044)",2,,2
,,,
"AREA URBANA (050)",163,72,91
"Sin nivel (051)",8,4,4
"Primaria (053)",40,13,27
"Secundaria (054)",87,43,44
"Superior no univ. incompleta (055)",5,2,3
"Superior no univ. completa (056)",13,6,7
"Superior univ. incompleta (057)",3,2,1
"Superior univ. completa (058)",7,2,5
"De 14 a 29 años (060)",85,47,38
"Sin nivel (061)",2,1,1
"Primaria (063)",12,7,5
"Secundaria (064)",57,32,25
"Superior no univ. incompleta (065)",4,2,2
"Superior no univ. completa (066)",6,3,3
"Superior univ. incompleta (067)",2,2,
"Superior univ. completa (068)",2,,2
"De 30 a 44 años (070)",54,22,32
"Sin nivel (071)",2,2,
"Primaria (073)",18,5,13
"Secundaria (074)",22,10,12
"Superior no univ. incompleta (075)",1,,1
"Superior no univ. completa (076)",6,3,3
"Superior univ. incompleta (077)",1,,1
"Superior univ. completa (078)",4,2,2
"De 45 a 64 años (080)",20,3,17
"Sin nivel (081)",4,1,3
"Primaria (083)",8,1,7
"Secundaria (084)",6,1,5
"Superior no univ. completa (086)",1,,1
"Superior univ. completa (088)",1,,1
"De 65 y más años (090)",4,,4
"Primaria (093)",2,,2
"Secundaria (094)",2,,2
,,,
"AREA RURAL (100)",285,127,158
"Sin nivel (101)",18,5,13
"Primaria (103)",117,47,70
"Secundaria (104)",126,63,63
"Superior no univ. incompleta (105)",7,3,4
"Superior no univ. completa (106)",13,7,6
"Superior univ. incompleta (107)",2,,2
"Superior univ. completa (108)",2,2,
"De 14 a 29 años (110)",151,86,65
"Sin nivel (111)",3,1,2
"Primaria (113)",40,25,15
"Secundaria (114)",91,51,40
"Superior no univ. incompleta (115)",4,2,2
"Superior no univ. completa (116)",11,6,5
"Superior univ. incompleta (117)",1,,1
"Superior univ. completa (118)",1,1,
"De 30 a 44 años (120)",85,35,50
"Sin nivel (121)",4,3,1
"Primaria (123)",43,18,25
"Secundaria (124)",32,11,21
"Superior no univ. incompleta (125)",3,1,2
"Superior no univ. completa (126)",2,1,1
"Superior univ. completa (128)",1,1,
"De 45 a 64 años (130)",37,6,31
"Sin nivel (131)",6,1,5
"Primaria (133)",27,4,23
"Secundaria (134)",3,1,2
"Superior univ. incompleta (137)",1,,1
"De 65 y más años (140)",12,,12
"Sin nivel (141)",5,,5
"Primaria (143)",7,,7
