"CUADRO Nº 21: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia HUAMANGA (000)",74266,21422,9625,31430,1247,5266,1482,3794
"Agric., ganadería, caza y silvicultura (001)",15028,144,2553,8938,277,3116,,
"Pesca (002)",13,6,3,4,,,,
"Explotación de minas y canteras (003)",207,72,107,21,7,,,
"Industrias manufactureras (004)",5041,160,1496,3014,153,218,,
"Suministro de electricidad, gas y agua (005)",146,78,55,13,,,,
"Construcción (006)",4768,379,3404,852,70,63,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",14313,2176,295,10210,332,1300,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",1347,153,177,900,63,54,,
"Comercio al por mayor (009)",749,255,50,374,15,55,,
"Comercio al por menor (010)",12217,1768,68,8936,254,1191,,
"Hoteles y restaurantes (011)",3677,1268,112,2034,117,146,,
"Trans., almac. y comunicaciones (012)",5109,1445,510,2969,82,103,,
"Intermediación financiera (013)",398,376,5,12,4,1,,
"Activid.inmobil., empres. y alquileres (014)",3178,2171,79,826,76,26,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",3305,2880,425,,,,,
"Enseñanza (016)",6749,6179,5,537,12,16,,
"Servicios sociales y de salud (017)",2169,1928,18,189,24,10,,
"Otras activ. serv.comun.soc y personales (018)",2175,1110,63,912,38,52,,
"Hogares privados con servicio doméstico (019)",1482,,,,,,1482,
"Organiz. y organos extraterritoriales (020)",2,2,,,,,,
"Actividad economica no especificada (021)",2712,1048,495,899,55,215,,
"Desocupado (022)",3794,,,,,,,3794
"Hombres (023)",45376,11836,8088,19729,881,2287,61,2494
"Agric., ganadería, caza y silvicultura (024)",11454,117,1893,7633,241,1570,,
"Pesca (025)",11,5,3,3,,,,
"Explotación de minas y canteras (026)",198,68,106,17,7,,,
"Industrias manufactureras (027)",3757,99,1214,2198,117,129,,
"Suministro de electricidad, gas y agua (028)",121,61,49,11,,,,
"Construcción (029)",4572,346,3271,829,66,60,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",5730,1023,274,3963,186,284,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",1202,95,169,846,59,33,,
"Comercio al por mayor (032)",410,150,43,195,10,12,,
"Comercio al por menor (033)",4118,778,62,2922,117,239,,
"Hoteles y restaurantes (034)",1078,550,67,363,56,42,,
"Trans., almac. y comunicaciones (035)",4707,1190,486,2868,76,87,,
"Intermediación financiera (036)",229,216,4,5,4,,,
"Activid.inmobil., empres. y alquileres (037)",2250,1448,66,668,58,10,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",2281,2073,208,,,,,
"Enseñanza (039)",3125,2872,5,232,6,10,,
"Servicios sociales y de salud (040)",753,612,8,116,14,3,,
"Otras activ. serv.comun.soc y personales (041)",1100,607,32,419,21,21,,
"Hogares privados con servicio doméstico (042)",61,,,,,,61,
"Organiz. y organos extraterritoriales (043)",1,1,,,,,,
"Actividad economica no especificada (044)",1454,548,402,404,29,71,,
"Desocupado (045)",2494,,,,,,,2494
"Mujeres (046)",28890,9586,1537,11701,366,2979,1421,1300
"Agric., ganadería, caza y silvicultura (047)",3574,27,660,1305,36,1546,,
"Pesca (048)",2,1,,1,,,,
"Explotación de minas y canteras (049)",9,4,1,4,,,,
"Industrias manufactureras (050)",1284,61,282,816,36,89,,
"Suministro de electricidad, gas y agua (051)",25,17,6,2,,,,
"Construcción (052)",196,33,133,23,4,3,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",8583,1153,21,6247,146,1016,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",145,58,8,54,4,21,,
"Comercio al por mayor (055)",339,105,7,179,5,43,,
"Comercio al por menor (056)",8099,990,6,6014,137,952,,
"Hoteles y restaurantes (057)",2599,718,45,1671,61,104,,
"Trans., almac. y comunicaciones (058)",402,255,24,101,6,16,,
"Intermediación financiera (059)",169,160,1,7,,1,,
"Activid.inmobil., empres. y alquileres (060)",928,723,13,158,18,16,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",1024,807,217,,,,,
"Enseñanza (062)",3624,3307,,305,6,6,,
"Servicios sociales y de salud (063)",1416,1316,10,73,10,7,,
"Otras activ. serv.comun.soc y personales (064)",1075,503,31,493,17,31,,
"Hogares privados con servicio doméstico (065)",1421,,,,,,1421,
"Organiz. y organos extraterritoriales (066)",1,1,,,,,,
"Actividad economica no especificada (067)",1258,500,93,495,26,144,,
,,,,,,,,
"URBANA (068)",60333,20955,7221,23840,1067,2806,1407,3037
"Agric., ganadería, caza y silvicultura (069)",4878,139,1033,2718,131,857,,
"Pesca (070)",8,5,1,2,,,,
"Explotación de minas y canteras (071)",180,72,86,15,7,,,
"Industrias manufactureras (072)",4768,155,1376,2902,150,185,,
"Suministro de electricidad, gas y agua (073)",141,77,53,11,,,,
"Construcción (074)",4250,376,2989,780,64,41,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (075)",13788,2123,289,9802,327,1247,,
"Venta, mant.y rep. veh.autom.y motoc. (076)",1314,143,173,883,63,52,,
"Comercio al por mayor (077)",726,254,49,354,15,54,,
"Comercio al por menor (078)",11748,1726,67,8565,249,1141,,
"Hoteles y restaurantes (079)",3529,1232,108,1937,116,136,,
"Trans., almac. y comunicaciones (080)",4857,1395,451,2839,72,100,,
"Intermediación financiera (081)",397,375,5,12,4,1,,
"Activid.inmobil., empres. y alquileres (082)",3137,2141,77,818,76,25,,
"Admin.pub. y defensa; p. segur.soc.afil (083)",3201,2837,364,,,,,
"Enseñanza (084)",6549,6073,4,446,11,15,,
"Servicios sociales y de salud (085)",2110,1883,12,182,24,9,,
"Otras activ. serv.comun.soc y personales (086)",2104,1079,57,879,38,51,,
"Hogares privados con servicio doméstico (087)",1407,,,,,,1407,
"Organiz. y organos extraterritoriales (088)",2,2,,,,,,
"Actividad economica no especificada (089)",1990,991,316,497,47,139,,
"Desocupado (090)",3037,,,,,,,3037
"Hombres (091)",34862,11546,6110,13547,718,1045,58,1838
"Agric., ganadería, caza y silvicultura (092)",3459,112,704,2122,105,416,,
"Pesca (093)",6,4,1,1,,,,
"Explotación de minas y canteras (094)",171,68,85,11,7,,,
"Industrias manufactureras (095)",3530,96,1110,2109,114,101,,
"Suministro de electricidad, gas y agua (096)",117,60,47,10,,,,
"Construcción (097)",4080,343,2879,759,60,39,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (098)",5539,997,270,3816,183,273,,
"Venta, mant.y rep. veh.autom.y motoc. (099)",1177,90,166,830,59,32,,
"Comercio al por mayor (100)",399,149,43,185,10,12,,
"Comercio al por menor (101)",3963,758,61,2801,114,229,,
"Hoteles y restaurantes (102)",1054,538,66,353,56,41,,
"Trans., almac. y comunicaciones (103)",4459,1142,428,2739,66,84,,
"Intermediación financiera (104)",228,215,4,5,4,,,
"Activid.inmobil., empres. y alquileres (105)",2213,1422,64,660,58,9,,
