"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LUCANAS (000)",23580,18693,2541,1288,1058
"Hombres (001)",16090,12517,1896,934,743
"Mujeres (002)",7490,6176,645,354,315
"De 06 a 14 años (003)",433,401,31,1,
"Hombres (004)",289,265,23,1,
"Mujeres (005)",144,136,8,,
"De 15 a 29 años (006)",6391,4849,881,413,248
"Hombres (007)",4468,3267,706,330,165
"Mujeres (008)",1923,1582,175,83,83
"De 30 a 44 años (009)",7729,5665,1011,552,501
"Hombres (010)",5162,3727,721,383,331
"Mujeres (011)",2567,1938,290,169,170
"De 45 a 64 años (012)",6186,5069,526,302,289
"Hombres (013)",4167,3350,386,202,229
"Mujeres (014)",2019,1719,140,100,60
"De 65 y más años (015)",2841,2709,92,20,20
"Hombres (016)",2004,1908,60,18,18
"Mujeres (017)",837,801,32,2,2
,,,,,
"URBANA (018)",13922,10595,1592,916,819
"Hombres (019)",8738,6506,1095,597,540
"Mujeres (020)",5184,4089,497,319,279
"De 06 a 14 años (021)",268,242,25,1,
"Hombres (022)",178,159,18,1,
"Mujeres (023)",90,83,7,,
"De 15 a 29 años (024)",3584,2753,459,211,161
"Hombres (025)",2258,1699,326,140,93
"Mujeres (026)",1326,1054,133,71,68
"De 30 a 44 años (027)",4851,3350,668,435,398
"Hombres (028)",2957,1992,445,277,243
"Mujeres (029)",1894,1358,223,158,155
"De 45 a 64 años (030)",3687,2809,379,254,245
"Hombres (031)",2333,1708,270,165,190
"Mujeres (032)",1354,1101,109,89,55
"De 65 y más años (033)",1532,1441,61,15,15
"Hombres (034)",1012,948,36,14,14
"Mujeres (035)",520,493,25,1,1
,,,,,
"RURAL (036)",9658,8098,949,372,239
"Hombres (037)",7352,6011,801,337,203
"Mujeres (038)",2306,2087,148,35,36
"De 06 a 14 años (039)",165,159,6,,
"Hombres (040)",111,106,5,,
"Mujeres (041)",54,53,1,,
"De 15 a 29 años (042)",2807,2096,422,202,87
"Hombres (043)",2210,1568,380,190,72
"Mujeres (044)",597,528,42,12,15
"De 30 a 44 años (045)",2878,2315,343,117,103
"Hombres (046)",2205,1735,276,106,88
"Mujeres (047)",673,580,67,11,15
"De 45 a 64 años (048)",2499,2260,147,48,44
"Hombres (049)",1834,1642,116,37,39
"Mujeres (050)",665,618,31,11,5
"De 65 y más años (051)",1309,1268,31,5,5
"Hombres (052)",992,960,24,4,4
"Mujeres (053)",317,308,7,1,1
