"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia LUCANAS (000)",998,15,497,296,151,39
"Conviviente (001)",270,,128,104,32,6
"Separado(a) (002)",33,,11,14,8,
"Casado(a) (003)",227,,19,92,88,28
"Viudo(a) (004)",16,,,6,5,5
"Divorciado(a) (005)",7,,2,3,2,
"Soltero(a) (006)",445,15,337,77,16,
"Hombres (008)",740,9,344,226,129,32
"Conviviente (009)",205,,89,84,27,5
"Separado(a) (010)",10,,2,5,3,
"Casado(a) (011)",187,,12,74,79,22
"Viudo(a) (012)",10,,,2,3,5
"Divorciado(a) (013)",7,,2,3,2,
"Soltero(a) (014)",321,9,239,58,15,
"Mujeres (016)",258,6,153,70,22,7
"Conviviente (017)",65,,39,20,5,1
"Separado(a) (018)",23,,9,9,5,
"Casado(a) (019)",40,,7,18,9,6
"Viudo(a) (020)",6,,,4,2,
"Soltero(a) (022)",124,6,98,19,1,
,,,,,,
"AREA URBANA (024)",613,6,300,184,99,24
"Conviviente (025)",149,,71,59,16,3
"Separado(a) (026)",22,,7,7,8,
"Casado(a) (027)",129,,6,48,55,20
"Viudo(a) (028)",9,,,5,3,1
"Divorciado(a) (029)",6,,2,2,2,
"Soltero(a) (030)",298,6,214,63,15,
"Hombres (032)",443,1,204,137,84,17
"Conviviente (033)",109,,46,47,14,2
"Separado(a) (034)",7,,2,2,3,
"Casado(a) (035)",105,,3,38,50,14
"Viudo(a) (036)",4,,,2,1,1
"Divorciado(a) (037)",6,,2,2,2,
"Soltero(a) (038)",212,1,151,46,14,
"Mujeres (040)",170,5,96,47,15,7
"Conviviente (041)",40,,25,12,2,1
"Separado(a) (042)",15,,5,5,5,
"Casado(a) (043)",24,,3,10,5,6
"Viudo(a) (044)",5,,,3,2,
"Soltero(a) (046)",86,5,63,17,1,
,,,,,,
"AREA RURAL (048)",385,9,197,112,52,15
"Conviviente (049)",121,,57,45,16,3
"Separado(a) (050)",11,,4,7,,
"Casado(a) (051)",98,,13,44,33,8
"Viudo(a) (052)",7,,,1,2,4
"Divorciado(a) (053)",1,,,1,,
"Soltero(a) (054)",147,9,123,14,1,
"Hombres (056)",297,8,140,89,45,15
"Conviviente (057)",96,,43,37,13,3
"Separado(a) (058)",3,,,3,,
"Casado(a) (059)",82,,9,36,29,8
"Viudo(a) (060)",6,,,,2,4
"Divorciado(a) (061)",1,,,1,,
"Soltero(a) (062)",109,8,88,12,1,
"Mujeres (064)",88,1,57,23,7,
"Conviviente (065)",25,,14,8,3,
"Separado(a) (066)",8,,4,4,,
"Casado(a) (067)",16,,4,8,4,
"Viudo(a) (068)",1,,,1,,
"Soltero(a) (070)",38,1,35,2,,
